"HABITAT_ASSESMENT_ID","HABITAT_SITE_ID","HABITAT_SITE_COMMON_NAME","HABITAT_ASSESMENT_DATE","HABITAT_ASSESMENT_TIME","ASSESMENT_EMPLOYEE_ID","ASSESMENT_EMPLOYEE_NAME","RBA","STREAM_DEPTH","STREAM_WIDTH","STREAM_FLOW","VELOCITY_DEPTH","EPIFAUNAL","EMBEDDEDNESS","SEDIMENT_DEPOSITION","CHANNEL_FLOW","CHANNEL_ALTERED","CHANNEL_SINUOSITY","FREQUENCY_RIFFLES","POOL_VARIABILITY","POOL_SUBSTRATE","BANK_VEG_LT","BANK_VEG_RT","BANK_STABILITY_LT","BANK_STABILITY_RT","RIPARIAN_VEG_LT","RIPARIAN_VEG_RT","ASSESMENT_COMMENTS","CREATE_DATE","MODIFY_EMPLOYEE_ID","MODIFY_DATE","ROWID"
"19","","smc a","2001-06-23 00:00:00","1899-12-30 08:35:00","","Eloisa Medina","YES",".50","10.00","","8","8","13","15","9","10","12","7","5","10","7","7","5","10","13","13","","","","","{82146C54-1E95-4E41-969C-BBDC31A93879}"
"20","","","2001-06-29 00:00:00","1899-12-30 09:40:00","","Eloisa Medina","YES",".50","8.00","","4","13","5","3","3","12","12","6","2","2","15","15","10","10","14","11","This goes to a wetlands area.","","","","{9589D0DF-87C8-475F-A00D-75FEF2AF89B1}"
"21","","dan a","2001-06-29 00:00:00","1899-12-30 08:35:00","","Eloisa Medina","YES","","30.00","","2","5","2","2","2","2","2","1","2","2","1","0","2","2","1","1","This site goes to a wetlands type area","","","","{866B706A-1F2A-4C28-A1DD-C0A2A8E82432}"
"22","","whc b","2001-06-27 00:00:00","1899-12-30 09:17:00","","Eloisa Medina","YES","6.00","200.00","","8","12","8","5","12","2","12","5","5","2","8","8","12","12","2","2","Deep water.","","","","{EA296436-368D-4FA8-A695-B5E771CDC26A}"
"23","","whc a","2001-06-27 00:00:00","1899-12-30 08:52:00","","Eloisa Medina","YES","6.00","200.00","","2","2","2","2","2","2","2","2","2","2","5","4","3","3","3","3","Water too high and no life","","","","{E4ACD729-F300-4CEF-A245-19787CE24EC0}"
"24","","wil a","2002-05-20 00:00:00","1899-12-30 10:53:00","","Eloisa Medina","YES","2.75","25.00","","5","8","6","5","5","8","10","2","5","2","3","5","8","8","5","12","","","","","{4C8ED3F4-D647-46F1-91E3-293F1FA7A1BE}"
"25","","mcc a","2002-05-20 00:00:00","1899-12-30 09:56:00","","Eloisa Medina","YES",".45","5.87","","12","12","7","7","8","9","12","8","10","8","8","8","8","8","13","13","","","","","{18F66EA4-1956-438F-A445-6F79F6B28D68}"
"26","","jac a","2002-05-20 00:00:00","1899-12-30 08:22:00","","Eloisa Medina","YES",".78","30.35","","12","8","12","12","12","8","12","12","10","8","10","10","7","7","5","5","","","","","{339D5F14-F2BA-406D-B025-09236D345CBB}"
"27","","hon a","2002-05-21 00:00:00","1899-12-30 10:57:00","","Eloisa Medina","YES",".95","12.50","","10","8","12","8","6","5","10","7","10","8","5","5","5","2","2","2","","","","","{FE0DC4D8-2C36-4204-A0A5-1ECF723692FF}"
"28","","ela a","2002-05-21 00:00:00","1899-12-30 11:01:00","","Eloisa Medina","YES","1.75","20.40","","3","5","3","3","6","12","10","3","5","2","7","7","7","7","10","10","","","","","{36370B58-7D31-4C86-AAA7-867EC6E5F1B2}"
"29","","ela b","2002-05-21 00:00:00","1899-12-30 08:48:00","","Eloisa Medina","YES","1.25","10.00","","10","8","12","8","12","10","12","5","8","5","7","7","3","5","4","7","","","","","{BF0DC599-2400-4614-A14D-F31FD8FA07D3}"
"30","","pra a","2002-05-22 00:00:00","1899-12-30 10:48:00","","Eloisa Medina","YES",".22","15.88","","8","5","9","10","12","12","12","9","5","2","8","8","6","3","5","8","","","","","{537CBA06-6CEC-4002-9C38-ABB397E48C8F}"
"31","","pra b","2002-05-22 00:00:00","1899-12-30 09:45:00","","Eloisa Medina","YES",".50","12.50","","8","5","5","5","5","8","12","6","5","5","8","8","8","8","4","7","","","","","{C0BD8201-D962-4D10-ADB0-559B2CCD3224}"
"32","","pra c","2002-05-22 00:00:00","1899-12-30 08:45:00","","Eloisa Medina","YES","1.25","16.30","","3","5","3","1","10","8","10","2","5","2","10","10","8","8","9","9","","","","","{03F4C41B-F478-4396-AFBC-5BC036278D83}"
"33","","tur a","2002-05-24 00:00:00","1899-12-30 10:59:00","","Eloisa Medina","YES",".94","8.00","","2","2","2","0","2","2","8","2","8","2","2","2","8","8","5","8","There was either a sewage or high silt discharge.  The water is very murky and smells bad.","","","","{06B78E9F-A786-46F5-9381-74E660A599E9}"
"34","","tur b","2002-05-24 00:00:00","1899-12-30 10:00:00","","Eloisa Medina","YES","1.60","20.00","","12","5","10","12","10","3","12","10","11","5","5","5","5","2","0","5","","","","","{97AA5900-9468-4393-92BF-5C6A14AC0084}"
"35","","tur c","2002-05-24 00:00:00","1899-12-30 08:46:00","","Eloisa Medina","YES",".70","22.00","","10","10","12","12","9","2","12","12","6","5","6","5","5","7","2","5","","","","","{7943B576-A9DE-4E5A-B01A-9C7E95FCC041}"
"36","","moc a","2002-06-06 00:00:00","1899-12-30 11:25:00","","Eloisa Medina","YES",".75","40.00","","8","5","2","2","10","5","10","10","3","3","5","5","7","7","9","5","","","","","{27AC740F-31EF-4977-81FC-2F27F43557FA}"
"37","","joe a","2002-06-06 00:00:00","1899-12-30 10:16:00","","Eloisa Medina","YES",".57","24.00","","5","3","5","3","5","5","8","5","3","2","8","8","8","8","10","10","","","","","{4E6F511B-BC50-4E50-BBA0-7BBCD1CF8B2B}"
"38","","joe b","2002-06-06 00:00:00","1899-12-30 08:58:00","","Eloisa Medina","YES",".44","15.66","","10","10","12","12","8","10","12","6","5","2","10","8","10","10","11","11","","","","","{DCE0AD94-28AF-4C6F-82C9-3C90312A2290}"
"39","","kni a","2002-06-07 00:00:00","1899-12-30 11:42:00","","Eloisa Medina","YES","1.30","26.40","","8","7","2","2","5","1","8","5","7","3","3","3","2","3","1","1","","","","","{043CD4AC-1D79-427F-847C-CF490EB6C3D6}"
"40","","kni b","2002-06-07 00:00:00","1899-12-30 10:51:00","","Eloisa Medina","YES",".56","15.29","","5","2","1","2","8","2","8","8","1","0","10","10","2","4","5","8","","","","","{191D2FB8-600B-4BCD-B6DD-EDC3EF3C93B9}"
"41","","art a","2002-06-07 00:00:00","1899-12-30 09:47:00","","","YES",".86","33.30","","5","5","10","5","5","2","8","5","3","0","2","2","8","8","2","2","","","","","{52F4A505-A914-4AEB-A1AD-492BB6DBBA58}"
"42","","kni c","2002-06-07 00:00:00","1899-12-30 08:55:00","","Eloisa Medina","YES","1.16","13.00","","3","8","2","2","8","1","6","2","3","0","8","8","2","3","7","2","","","","","{B2207D10-F941-424D-8777-920AD9BE86B1}"
"43","","efc a","2002-06-10 00:00:00","1899-12-30 09:15:00","","Eloisa Medina","YES","","","","5","8","2","2","2","2","2","2","2","2","5","5","10","10","5","5","","","","","{BB54B62C-0846-4A22-85B6-C95FB51B9EDA}"
"44","","far a","2002-06-13 00:00:00","1899-12-30 12:37:00","","Eloisa Medina","YES","2.00","55.00","","5","13","9","5","2","10","12","2","2","7","10","10","5","5","10","10","","","","","{0615D425-D805-4EA6-BA81-5C4AF41142A6}"
"45","","far b","2002-06-13 00:00:00","1899-12-30 11:34:00","","Eloisa Medina","YES","1.60","17.00","","12","12","10","10","8","2","13","10","11","7","2","8","12","6","2","5","","","","","{B23A85B3-5491-4F9E-87E6-78EC971473D2}"
"46","","hut a","2002-06-13 00:00:00","1899-12-30 10:37:00","","Eloisa Medina","YES","2.33","17.00","","8","7","5","2","5","8","10","7","9","2","5","5","8","8","8","8","","","","","{A371AD6F-93EA-4E20-B16D-39A09E6D09A4}"
"47","","fur a","2002-06-13 00:00:00","1899-12-30 09:19:00","","Eloisa Medina","YES",".40","11.00","","5","9","4","2","5","5","9","3","5","5","5","5","10","10","5","5","","","","","{4BA849F5-3672-4B46-968F-060DEE860C0D}"
"48","","bab a","2002-06-19 00:00:00","1899-12-30 11:43:00","","Eloisa Medina","YES","1.10","17.30","","7","10","7","3","3","10","10","5","2","2","3","3","5","5","8","8","","","","","{3949BB9B-68D5-4191-938C-1D30448722A0}"
"49","","bab b","2002-06-19 00:00:00","1899-12-30 10:52:00","","Eloisa Medina","YES","1.40","18.90","","10","10","8","8","6","5","13","9","8","5","7","2","8","12","5","0","","","","","{EEE42C59-A734-463E-AF35-408D802E1F3F}"
"50","","bab c","2002-06-19 00:00:00","1899-12-30 09:58:00","","Eloisa Medina","YES","2.00","25.00","","0","2","2","0","1","0","10","0","3","1","3","3","10","10","5","5","","","","","{E5C97279-4902-470D-BFA4-4677B9423D07}"
"51","","bab d","2002-06-19 00:00:00","1899-12-30 08:50:00","","Eloisa Medina","YES",".44","27.00","","10","5","12","12","10","5","13","7","9","5","8","5","10","10","2","2","","","","","{5B12A53A-FD6A-4619-9623-F42BAE115870}"
"52","","cec d","2002-06-20 00:00:00","1899-12-30 11:44:00","","Eloisa Medina","YES",".33","9.50","","3","2","12","5","2","12","12","2","2","2","5","8","5","7","8","8","","","","","{A67C9206-58A9-460E-A51A-F0A0EF9370C6}"
"53","","cec c","2002-06-20 00:00:00","1899-12-30 10:47:00","","Eloisa Medina","YES","","","","5","2","10","2","3","2","10","5","2","2","2","2","8","10","0","0","","","","","{1AFCDFDE-290A-4275-B3D1-4FC9343EA6EA}"
"54","","cec b","2002-06-20 00:00:00","1899-12-30 09:35:00","","Eloisa Medina","YES","1.30","18.00","","12","8","7","7","5","8","12","11","9","4","8","8","5","5","5","2","","","","","{B2281C8B-EAC2-4D3E-A86C-49B3D8F22FD2}"
"55","","cec a","2002-06-20 00:00:00","1899-12-30 08:38:00","","Eloisa Medina","YES",".33","15.00","","10","7","7","5","2","2","10","10","5","2","5","5","8","5","2","2","","","","","{418AFE47-8148-4518-96AE-D08C5A95D8E9}"
"56","","fiv d","2002-06-21 00:00:00","1899-12-30 11:16:00","","Eloisa Medina","YES",".25","11.50","","7","5","5","8","5","2","11","8","8","5","5","5","5","5","2","2","","","","","{0BD8A08F-8AE2-473B-AD5F-430DB3458D3A}"
"57","","fiv c","2002-06-21 00:00:00","1899-12-30 10:13:00","","Eloisa Medina","YES",".70","41.80","","11","9","5","2","5","7","12","10","9","6","6","6","8","5","10","5","","","","","{EA9F7AFE-0874-442D-B226-5DF9CC7D81DB}"
"58","","fiv b","2002-06-21 00:00:00","1899-12-30 09:29:00","","Eloisa Medina","YES",".70","30.00","","10","12","9","3","9","6","12","9","7","7","8","5","8","5","8","5","","","","","{14963493-DA91-4DB0-A8A2-9BFED2564FB7}"
"59","","fiv a","2002-06-21 00:00:00","1899-12-30 08:32:00","","Eloisa Medina","YES","","","","12","8","7","5","5","10","13","9","8","5","3","5","4","3","5","5","","","","","{159EB656-6B0E-4C8B-86C8-20F407023E14}"
"60","","fil a","2002-06-24 00:00:00","1899-12-30 11:36:00","","Eloisa Medina","YES","4.25","66.00","","3","10","6","3","3","2","8","2","2","2","10","10","11","11","5","8","","","","","{055AAF87-8B0D-44B0-B782-21EC05631B32}"
"61","","art a","2002-06-24 00:00:00","1899-12-30 10:38:00","","Eloisa Medina","YES","2.75","66.00","","10","10","8","8","10","12","11","11","10","7","11","11","10","10","10","10","","","","","{EDE472D9-6982-42C4-AEDE-A72C467DCE6C}"
"62","","whc e","2002-06-26 00:00:00","1899-12-30 12:11:00","","Eloisa Medina","YES","1.00","50.00","","12","8","10","9","11","5","12","12","10","8","5","5","2","2","2","5","","","","","{656BDFCE-0E94-48F4-AB3D-59C572E852E8}"
"63","","whc d","2002-06-26 00:00:00","1899-12-30 11:33:00","","Eloisa Medina","YES","3.00","40.00","","10","10","5","3","10","2","13","11","10","4","7","7","3","5","2","5","","","","","{CA9862D6-694B-458A-A67C-DFCE90B0BAFA}"
"64","","whc c","2002-06-26 00:00:00","1899-12-30 11:40:00","","Eloisa Medina","YES","1.50","20.00","","11","10","9","0","2","2","2","8","5","3","0","8","11","8","0","5","","","","","{D305C17D-FDAF-4F4E-8656-5C66BE460E53}"
"65","","whc b","2002-06-26 00:00:00","1899-12-30 09:06:00","","Eloisa Medina","YES","6.00","80.00","","5","9","5","3","10","2","12","6","5","5","5","5","5","5","2","5","","","","","{4D000967-E38C-490D-AB89-E081DF9480AA}"
"66","","whc a","2002-07-03 00:00:00","1899-12-30 08:47:00","","Eloisa Medina","YES","4.00","66.00","","2","2","2","1","2","2","2","2","2","2","0","2","1","1","0","2","","","","","{9A2136F0-1355-4D6D-89D3-334C7F82FBE1}"
"67","","par a","2002-07-09 00:00:00","1899-12-30 10:35:00","","Mark Neuman","NO ","1.00","8.00","","","","","","","","","","","","","","","","","","","","","","{7B60FBFE-4472-45DC-B2BE-DD324F4D4634}"
"69","","spc a","2002-07-10 00:00:00","1899-12-30 10:57:00","","Eloisa Medina","YES","","","","12","11","10","7","10","7","12","11","10","8","7","7","5","5","12","12","","","","","{B8381F21-CD10-4485-AA05-A5D984C6F716}"
"70","","smc a","2002-07-10 00:00:00","1899-12-30 09:42:00","","Eloisa Medina","YES","","","","9","9","8","5","9","9","7","7","8","8","9","8","4","4","11","11","","","","","{EC7127D2-45B4-4A38-B2E9-354A628E9AA4}"
"71","","par a","2002-07-10 00:00:00","1899-12-30 08:42:00","","Eloisa Medina","YES","","","","7","10","8","2","2","12","11","2","2","5","10","10","10","10","9","8","","","","","{8F804CD0-D6F6-461C-BC79-CE1C3FABD953}"
"72","","coo a","2002-06-11 00:00:00","1899-12-30 12:33:00","","Eloisa Medina","YES","1.30","17.30","","10","10","9","8","11","10","11","9","10","9","9","9","11","11","5","5","","","","","{83F24BB2-BE5F-4B9F-ADC6-1B66A7E6CDF9}"
"73","","coo b","2002-06-11 00:00:00","1899-12-30 10:20:00","","Eloisa Medina","YES","3.30","18.00","","6","3","5","3","9","5","5","6","6","2","3","3","5","5","5","5","","","","","{EF0D83BF-6F85-4C47-AD65-314C8F0D12F4}"
"74","","coo c","2002-06-11 00:00:00","1899-12-30 08:56:00","","Eloisa Medina","YES",".50","1.50","","7","5","6","3","6","4","8","6","6","5","5","5","5","7","4","4","","","","","{FA0864E4-04DF-47FF-A1DD-123C9A888B5B}"
"75","","dan a","2002-06-11 00:00:00","1899-12-30 10:36:00","","Eloisa Medina","YES","2.00","22.30","","7","10","8","5","5","5","5","5","5","9","8","8","5","5","6","6","","","","","{0AA658EC-A19F-4175-BEF4-633845E7E998}"
"76","","cac a","2002-06-11 00:00:00","1899-12-30 09:34:00","","Eloisa Medina","YES",".75","6.50","","8","8","5","5","6","8","8","5","6","6","9","9","10","10","10","7","","","","","{0D17C617-136A-4409-85FC-25EA62FAAD86}"
"77","","rib a","2002-06-11 00:00:00","1899-12-30 11:31:00","","Eloisa Medina","YES","2.50","2.00","10.00","9","11","10","9","8","10","9","6","6","8","10","10","9","9","8","5","","","","","{130241F9-86CF-4561-BC64-DA244AF119CC}"
"78","","ceb a","2002-06-10 00:00:00","1899-12-30 11:18:00","","Eloisa Medina","YES",".25","15.00","","6","8","8","6","9","8","6","6","8","6","6","6","8","8","6","6","","","","","{3704881F-5B87-43E1-9332-ACD170E828B8}"
"79","","tro b","2002-06-10 00:00:00","1899-12-30 10:14:00","","Eloisa Medina","YES",".60","15.00","","10","8","8","6","9","8","8","7","7","6","10","10","8","8","8","8","","","","","{2B056203-F85D-4BBC-9A73-E355ADD3E043}"
"80","","tro a","2002-06-10 00:00:00","1899-12-30 09:03:00","","Eloisa Medina","YES",".50","12.00","","8","7","8","7","5","6","9","4","5","6","8","8","8","8","10","10","","","","","{34A52FCA-A7C4-499B-BED0-7F426351CE5C}"
"83","","coo c","2003-04-18 00:00:00","1899-12-30 10:47:00","","Tamara Elliot","YES",".50","14.40","","5","2","5","8","4","10","5","5","2","3","2","5","12","5","0","3","Tree cuttings blocking creek.","","","","{B8D542CC-3E69-4CD7-AF86-0514CB17F7ED}"
"84","","coo b","2003-04-18 00:00:00","1899-12-30 09:33:00","","Tamara Elliot","YES","6.60","13.80","","5","1","3","3","8","5","5","6","5","4","3","3","3","3","2","2","Excess hair algae, dead animal present.","","","","{37CF0BD0-BDED-4051-8E39-416BF546280F}"
"85","","coo a","2003-04-18 00:00:00","1899-12-30 08:17:00","","Tamara Elliot","YES","1.10","18.80","","11","8","10","8","10","10","12","8","12","10","10","10","11","12","4","4","Cement bassin, various fish species present.","","","","{A2D52002-A5B3-44E0-9861-D1A45C623516}"
"86","","hon b","2003-04-17 00:00:00","1899-12-30 10:15:00","","Tamara Elliot","YES","1.10","12.40","","4","2","3","3","4","3","6","2","3","2","6","6","5","3","2","2","Excess brush and debris in creek. oil sheen evident.","","","","{2CECF2E2-26AD-420D-81BF-35733BC6A0B3}"
"87","","hon a","2003-04-17 00:00:00","1899-12-30 09:20:00","","Tamara Elliot","YES","2.00","8.00","","2","4","2","2","2","2","2","3","2","3","6","6","1","1","0","0","Construction area, old site gone. silt high, moved west of old site.","","","","{1ACE000B-B908-43F0-9FBD-EAC7FBE44979}"
"88","","tur c","2003-04-16 00:00:00","1899-12-30 11:49:00","","Tamara Elliot","YES","3.90","25.00","","12","5","8","10","12","2","10","10","5","5","6","6","7","6","1","1","Water level higher than normal. ","","","","{8C883148-A3EB-455D-85FE-936BBC428566}"
"89","","tur b","2003-04-16 00:00:00","1899-12-30 10:40:00","","Tamara Elliot","YES","2.10","18.90","","15","4","15","12","15","3","12","13","13","5","5","5","5","2","5","5","Streem bed erroded since last year. bank errosion evident,","","","","{E7D3234A-A410-416C-A839-E8423704118A}"
"90","","tur a","2003-04-16 00:00:00","1899-12-30 09:29:00","","Tamara Elliot","YES",".70","10.60","","2","4","3","0","2","2","9","3","8","2","3","2","8","7","5","8","Trash evident, some bank erosion.","","","","{12705B15-D59F-4E2D-8238-55BBE866CB15}"
"91","","rib a","2003-04-23 00:00:00","1899-12-30 11:39:00","","Tamara Elliot","YES","1.70","10.00","","3","8","5","5","3","5","5","2","2","3","5","5","5","5","4","5","Cat tails, and other aquqtic vegitation in abundance","","","","{2F2D0A49-BBC4-43C7-9D99-C858C74DC18E}"
"92","","efc a","2003-04-23 00:00:00","1899-12-30 10:12:00","","Tamara Elliot","YES","2.10","10.00","2.00","1","2","2","1","1","2","2","0","2","2","3","2","3","3","3","2","Sediment high , with wider ","","","","{D5863BD2-ED2C-4AF7-A95A-7A84464E4691}"
"93","","efc b","2003-04-23 00:00:00","1899-12-30 09:01:00","","Tamara Elliot","YES","3.00","20.40","","5","6","2","2","2","2","2","2","2","2","5","5","8","10","5","5","Trash evident, depth incressed,bank being cut away on left.","","","","{8976DE7B-B45E-4F31-B466-9053978B7B05}"
"94","","woo b","2003-05-07 00:00:00","1899-12-30 10:08:00","","Lawrence Cantos","YES","5.00","10.00","15.00","11","15","3","1","3","2","4","5","12","4","7","5","7","7","9","7","nasty water
Lawrence test  5/7/03 10:15 am ","","","","{9B11AF63-64C8-484F-A796-566EECE9170E}"
"103","","dix a","2003-07-15 00:00:00","1899-12-30 12:50:00","","Tamara Elliott","NO ","2.00","20.00","","2","3","4","4","5","7","8","2","5","5","3","3","3","2","3","3","fish present,medium size sun fish. Trash evident","","","","{EC06E2CF-04B5-46E0-9D01-365C9A774D01}"
"105","","dix b","2003-07-15 00:00:00","1899-12-30 12:20:00","","Tamara Elliott","NO ","1.00","25.00","","11","1","6","5","6","4","4","7","1","1","2","2","8","8","2","2","Fish present, algae moderate, cement chanel.","","","","{D0D48502-E542-47EA-BD56-0D22CBFC6BAC}"
"106","","jac a","2003-07-15 00:00:00","1899-12-30 11:40:00","","Tamara Elliott","NO ","1.60","28.00","","4","6","5","5","10","6","10","11","7","7","3","3","6","6","6","6","Heavy sediment and gravel, minnows present, trash evident.","","","","{1A41EC04-5EA0-491D-A6FB-A9C121F05D24}"
"107","","jac b","2003-07-15 00:00:00","1899-12-30 11:05:00","","Tamara Elliott","NO ",".08","8.00","","6","5","4","5","6","11","6","6","2","2","2","2","5","5","2","2","Limestone bottom, no trash.","","","","{B85937AE-EC85-4D22-9E96-B1299A1E3FCA}"
"108","","jac c","2003-07-15 00:00:00","1899-12-30 10:35:00","","Tamara Elliott","NO ",".03","15.00","","1","2","0","20","6","7","5","6","3","1","9","9","6","2","8","8","Rock basin, left bank high vegatation, right bank high errossion. Dead animal smell present.","","","","{DC51628B-A1A4-4BF6-95AF-A5A82879D066}"
"109","","mck a","2003-07-16 00:00:00","1899-12-30 11:16:00","","Cesar Cavazos","NO ","1.00","15.00","","7","10","15","9","10","11","","13","","","7","7","7","7","5","5","","","","","{A1B90BCE-7070-4961-8BB1-A34D56B265E0}"
"110","","mck b","2003-07-16 00:00:00","1899-12-30 10:54:00","","Cesar Cavazos","NO ","1.50","22.00","","15","11","12","10","10","9","","15","","","5","5","9","9","8","8","","","","","{5BB0E4F2-880B-409E-8C4A-F0E3A0EA1F47}"
"111","","mck c","2003-07-16 00:00:00","1899-12-30 10:30:00","","Cesar Cavazos","NO ","1.00","15.00","","7","5","4","10","5","2","","9","2","","2","3","1","1","1","1","Eroded both sides of the banks.","","","","{99C5866E-0CEF-47D6-9819-3936F4146114}"
"112","","mck c","2003-07-16 00:00:00","1899-12-30 10:25:00","","Cesar Cavazos","NO ","","","","","","","","","","","","","","","","","","","","","","","","{D6F98A94-8F2F-4B5F-8422-06B326656A1A}"
"113","","lon a","2003-07-16 00:00:00","1899-12-30 09:38:00","","Cesar Cavazos","NO ","8.00","12.00",".00","4","4","4","6","3","5","6","3","4","5","4","2","5","6","5","3","","","","","{675F0DA8-181F-4945-8037-6E80274069B8}"
"114","","hut a","2003-07-16 00:00:00","1899-12-30 09:30:00","","","NO ","","","","","","","","","","","","","","","","","","","","","","","","{C03E6252-82A2-4BBE-A4A3-E6F8028A648E}"
"115","","new a","2003-07-16 00:00:00","1899-12-30 11:35:00","","Tamara Elliot","NO ",".10","10.00","","2","3","2","3","2","5","5","2","2","3","4","4","3","3","2","2","High chlorine flow blocked,concrete slab picees in excess with rebar , no fish evident.","","","","{807635C1-AB48-4A27-A0DA-1718D0304B1D}"
"116","","whi a","2003-07-16 00:00:00","1899-12-30 11:14:00","","Tamara Elliot","NO ","","","","","","","","","","","","","","","","","","","","No flow creek impared by silt and trash dead animal smell present","","","","{EA60D3F0-1947-4C86-8DF9-6D3D74488538}"
