"WQM_WQ_ASSESMENT_ID","WQ_SITE_ID","WQ_SITE_COMMON_NAME","WQ_ASSESMENT_DATE","WQ_ASSESMENT_TIME","WQ_ASSESMENT_EMPLOYEE_ID","WQ_ASSESMENT_EMPLOYEE_NAME","PH","DISSOLVED_OXYGEN","WATER_TEMPERATURE","SPEC_CONDUCTIVITY","TOT_DISSOLVED_SOLID","ORP","TURBIDITY","TOT_SUSPENDED_SOLID","CHLORINE","HARDNESS","FECAL","PHOSPHOROUS","NITRATE","NITRITE","IRON","AMMONIA","CHEM_OXYGEN_DEMAND","PHENOLS","COPPER","DETERGENT","SULFATE","SECCHI_DEPTH","SEWAGE_ODOR","SOLVENT_ODOR","PETROLEUM_ODOR","FISH_ODOR","ASSESMENT_COMMENTS","CREATE_DATE","MODIFY_EMPLOYEE_ID","MODIFY_DATE","PASSED_INVERTIBRATE_TOX","PASSED_FATHEAD_TOX","NITRATE_NITRITE","E_COLI","ROWID"
"13","","bit b","2002-01-28 00:00:00","1899-12-30 10:30:00","","Cesar Cavazos","7.50","3.72","11.51",".371",".20","311","24","24",".00","120","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{CF96EDEF-50DE-4D08-9452-F6CD08447742}"
"14","","bit a","2002-01-28 00:00:00","1899-12-30 10:10:00","","Cesar Cavazos","7.62","7.58","10.14",".425",".30","311","20","19",".00","120","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{EEDBDECB-EC88-478B-94F3-E7957AC8CB1C}"
"15","","pra a","2002-01-28 00:00:00","1899-12-30 09:40:00","","Cesar Cavazos","7.30","9.03","10.40",".506",".30","309","25","22",".01","250","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{7AFB17A8-A4DD-4A36-A41F-F8274183CCAF}"
"16","","fil a","2002-02-26 00:00:00","1899-12-30 08:09:00","","Mark Neuman","","","","","","","","","","","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{CCE32592-87A4-4D80-8871-84DFBD9749A9}"
"17","","wil a","2002-05-20 00:00:00","1899-12-30 10:55:00","","Eloisa Medina","7.49","6.45","18.53",".440",".21","192","8","8",".03","250","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{53F3B791-D0C8-4FE2-BDD5-10F6C2F52211}"
"18","","mcc a","2002-05-20 00:00:00","1899-12-30 09:54:00","","Eloisa Medina","7.83","8.21","17.50",".660",".32","182","17","24",".01","250","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{E46CD295-311A-4938-8F52-176D54215656}"
"19","","jac a","2002-05-20 00:00:00","1899-12-30 08:26:00","","Eloisa Medina","7.72","8.21","18.19",".570",".27","183","3","8",".08","425","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{6490A74C-A20B-402D-A826-7D39FF6BA66D}"
"20","","hon a","2002-05-21 00:00:00","1899-12-30 10:59:00","","Eloisa Medina","7.66","6.25","19.76",".430",".30","360","6","4",".03","250","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{1D1B7F1F-9184-422F-9695-7C7DE53AF6DC}"
"21","","ela a","2002-05-21 00:00:00","1899-12-30 11:04:00","","Eloisa Medina","7.63","5.00","18.10",".710",".50","364","4","3",".03","425","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{4E6DF292-5D3A-4AAC-A7E1-78E9CFD90BA7}"
"22","","ela b","2002-05-21 00:00:00","1899-12-30 08:51:00","","Eloisa Medina","8.25","6.50","18.09",".580",".40","386","4","2",".10","250","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{BC5C2A79-A957-410D-8ED5-A94F9091EAF6}"
"23","","pra a","2002-05-22 00:00:00","1899-12-30 10:49:00","","Eloisa Medina","7.50","7.99","19.77",".470",".30","377","12","10",".05","250","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{E2815ED6-3D1B-4938-A023-95E9075E8177}"
"24","","pra b","2002-05-22 00:00:00","1899-12-30 09:46:00","","Eloisa Medina","7.65","8.17","19.33",".360",".20","404","9","8",".06","120","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{A0EADAD6-0C6C-490E-BA24-0643C2FF3D08}"
"25","","pra c","2002-05-22 00:00:00","1899-12-30 08:48:00","","Eloisa Medina","7.66","7.39","18.86",".520",".25","392","11","8",".07","250","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{6850F649-6F7B-40B3-9955-739CF0ED7405}"
"26","","tur a","2002-05-24 00:00:00","1899-12-30 10:56:00","","Eloisa Medina","7.49","7.00","21.33",".990",".60","439","","","","","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{12547F37-B592-49E5-B2A8-19DF15DA3262}"
"27","","tur b","2002-05-24 00:00:00","1899-12-30 09:58:00","","Eloisa Medina","8.02","9.05","21.44",".580",".40","464","","","","","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{FCF1D7C6-D3D7-4585-9BE0-2871F4A29072}"
"28","","tur c","2004-05-26 00:00:00","1899-12-30 08:43:00","","Tamara Elliott","7.60","7.13","21.50",".510",".30","510","12","11",".05","120","31",".840",".100",".017",".15","","32.00","",".000","","","","NO ","NO ","NO ","NO ","Trash present, dirt basin, algae present.","","","","","","","","{1870C942-6B69-4206-B4C2-D37088128478}"
"29","","moc a","2002-06-06 00:00:00","1899-12-30 11:29:00","","Eloisa Medina","8.19","7.01","27.20",".510",".30","244","74","95",".06","120","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{F397E621-A351-43BF-B3ED-F5ABDA2C3DFC}"
"30","","joe a","2002-06-06 00:00:00","1899-12-30 10:20:00","","Eloisa Medina","7.91","8.57","24.34",".810",".50","246","9","5",".08","250","616",".120",".000",".011",".28",".000",".00","0",".000","","","","NO ","NO ","NO ","NO ","","","","","","","","","{3FDC39D2-979E-4492-B90E-A8DDCC1CF77B}"
"31","","joe b","2002-06-06 00:00:00","1899-12-30 09:02:00","","Eloisa Medina","7.96","5.98","21.94",".860",".60","243","3","2",".02","425","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{6CACBBF3-6D25-4FBF-B395-9024CDDB0F61}"
"32","","kni a","2002-06-07 00:00:00","1899-12-30 11:44:00","","Eloisa Medina","8.41","8.12","25.86",".690",".50","419","19","11",".06","250","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{4D9EDEAD-83AE-4187-A0D5-95DCBABE497C}"
"33","","kni b","2002-06-07 00:00:00","1899-12-30 10:55:00","","Eloisa Medina","8.07","7.46","22.20",".700",".40","446","3","1",".02","125","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{1C1B44D5-BFBD-4F6D-978B-1320355E1B0D}"
"34","","art a","2002-06-07 00:00:00","1899-12-30 09:51:00","","Eloisa Medina","7.85","5.30","22.40",".630",".24","425","8","6",".06","250","2",".090","","",".69","","28.00","",".110","","","","NO ","NO ","NO ","NO ","","","","","","","","","{0EAC5014-EB18-41A1-85D6-017EAB77798B}"
"35","","kni c","2002-06-07 00:00:00","1899-12-30 08:58:00","","Eloisa Medina","7.61","3.90","22.08",".700",".50","424","16","23",".02","200","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{7C942A2C-8F19-498E-8E3C-7BBCF2A2F9D5}"
"36","","far a","2002-06-13 00:00:00","1899-12-30 12:39:00","","Eloisa Medina","8.06","8.38","30.13",".440",".30","361","38","48",".11","300","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{7A3CD399-3AD5-4115-B6A5-B2A7DE09BFE5}"
"37","","far b","2002-06-13 00:00:00","1899-12-30 11:37:00","","Eloisa Medina","7.81","8.94","29.01",".540",".30","356","12","9",".07","300","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{5A572707-A921-4B7E-B6A6-F06F0D31A047}"
"38","","hut a","2002-06-13 00:00:00","1899-12-30 10:40:00","","Eloisa Medina","7.77","6.25","29.01",".640",".40","365","41","50",".26","120","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{7EE78887-6822-497D-9997-2B305B269406}"
"39","","fur a","2002-06-13 00:00:00","1899-12-30 09:21:00","","Eloisa Medina","7.65","5.30","27.89",".750",".50","375","101","41",".15","400","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{984E95F7-481C-46EC-B7F4-BF2BCF62936C}"
"40","","bab a","2002-06-19 00:00:00","1899-12-30 11:46:00","","Eloisa Medina","7.75","7.46","26.95",".450",".03","233","25","24",".00","120","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{0550BFC4-714A-4A0B-BC06-364B2EF62F14}"
"41","","bab b","2002-06-19 00:00:00","1899-12-30 10:55:00","","Eloisa Medina","7.90","11.11","25.63",".600",".40","223","14","11",".08","120","65","","","",".03","","","","","","","","NO ","NO ","NO ","NO ","COD = 206; Cu, Ammonia, Nitrate-Nitrite, Phosphorus = BRL","","","","YES","YES","","1400","{8B5C118C-F77D-4D39-ACC4-465F004D1DE7}"
"42","","bab c","2002-06-19 00:00:00","1899-12-30 10:01:00","","Eloisa Medina","7.73","4.84","23.26",".630",".40","206","33","45",".00","120","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{682D5D9C-030C-424E-B6F3-FD4053676FA9}"
"43","","bab d","2002-06-19 00:00:00","1899-12-30 08:53:00","","Eloisa Medina","8.85","14.75","24.14",".560",".40","225","19","16",".00","120","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{FEC3B4FF-87CD-4460-BEDD-8475ED495BFB}"
"44","","cec d","2002-06-20 00:00:00","1899-12-30 11:47:00","","Eloisa Medina","8.86","14.45","27.34",".500",".30","421","7","13",".00","120","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{90E726EE-F33C-412E-A511-2F955B01B2B0}"
"45","","cec c","2002-06-20 00:00:00","1899-12-30 10:50:00","","Eloisa Medina","8.47","10.78","26.19",".600",".40","443","7","9",".01","120","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{F23B2143-ACFD-4C9D-B942-94455096881D}"
"46","","cec b","2002-06-20 00:00:00","1899-12-30 09:38:00","","Eloisa Medina","7.84","7.05","24.83",".630",".40","431","9","8",".00","250","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{492F5A21-0123-4414-BAF5-3C9379D9B750}"
"47","","cec a","2002-06-20 00:00:00","1899-12-30 08:40:00","","Eloisa Medina","7.78","6.25","24.45",".660",".04","458","14","6",".06","250","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{EBEB9745-12D2-4970-8971-0179173EFB21}"
"48","","fiv d","2002-06-21 00:00:00","1899-12-30 11:18:00","","Eloisa Medina","7.49","5.11","25.25",".490",".30","539","7","11",".00","120","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{8D68BB3B-F3FC-48DC-8BAE-77816E5D7304}"
"49","","fiv c","2002-06-21 00:00:00","1899-12-30 10:15:00","","Eloisa Medina","7.73","6.79","26.33",".500",".30","576","10","10",".02","120","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{32B456CE-E834-4FAE-AFEB-B6BF19710962}"
"50","","fiv b","2002-06-21 00:00:00","1899-12-30 09:30:00","","Eloisa Medina","7.74","7.14","27.08",".486",".30","564","13","16",".06","120","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{F1132A69-FD61-47FB-B935-FD84A8A9FBF6}"
"51","","fiv a","2002-06-21 00:00:00","1899-12-30 08:35:00","","Eloisa Medina","7.80","6.67","26.38",".458",".30","552","9","7",".14","120","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{E221A51E-F040-4286-B7E0-6FC2E3FC63FF}"
"52","","fil a","2002-06-24 00:00:00","1899-12-30 11:38:00","","Eloisa Medina","7.35","3.44","29.10","1.060",".70","379","","","","","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{FA086245-A9E8-4F33-9D14-B6AEDFE07AD6}"
"53","","art a","2002-06-24 00:00:00","1899-12-30 10:40:00","","Eloisa Medina","7.54","6.62","26.82",".737",".50","377","","","","","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{56334225-A64D-41A2-BDF7-2B786D44B383}"
"54","","whc e","2002-06-26 00:00:00","1899-12-30 12:13:00","","Eloisa Medina","7.75","6.83","25.38",".500",".30","325","","",".30","","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{F3B0E8FC-3A34-4EA9-9230-B6ADD58CB160}"
"55","","whc d","2002-06-26 00:00:00","1899-12-30 11:34:00","","Eloisa Medina","7.73","5.61","26.71",".500",".30","325","","",".00","","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{38A88D44-E56A-4210-A5C6-C96C55E82F55}"
"56","","whc c","2002-06-26 00:00:00","1899-12-30 10:42:00","","Eloisa Medina","7.73","6.37","25.38",".560",".40","328","","",".20","","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{0174EBBC-F677-4892-A811-3CAE66A955D5}"
"57","","whc b","2002-06-26 00:00:00","1899-12-30 09:02:00","","Eloisa Medina","7.80","4.67","28.71",".330",".20","327","","",".00","","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{2E3548A3-2B47-44BE-A6BC-FA753B57505F}"
"58","","whc a","2002-06-26 00:00:00","1899-12-30 08:51:00","","Eloisa Medina","7.71","3.96","28.49",".540",".30","332","","",".00","","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{AD779682-F64D-4058-8047-54F6B6495D5B}"
"59","","spc a","2002-07-09 00:00:00","1899-12-30 11:49:00","","Mark Neuman","7.75","6.49","27.66",".522",".30","548","30","3",".03","200","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{F019C6AA-5D1A-4777-A64D-1C15A7C722ED}"
"60","","smc a","2002-07-09 00:00:00","1899-12-30 11:09:00","","Mark Neuman","7.66","4.68","28.83",".334",".20","544","67","77",".13","120","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{A31F28D6-DE44-4F63-8D9F-6BBD90624C89}"
"61","","par a","2002-07-09 00:00:00","1899-12-30 10:38:00","","Mark Neuman","7.44","2.52","29.34",".951",".60","438","48","54",".11","250","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{D240AB13-4404-4C1D-AFC0-092789FC345C}"
"62","","cac a","2002-06-11 00:00:00","1899-12-30 14:48:00","","Eloisa Medina","9.03","8.86","33.96",".639",".04","357","63","84",".08","120","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{322FB040-1C07-4FFA-B454-593CD367D24A}"
"63","","ceb a","2002-06-10 00:00:00","1899-12-30 11:24:00","","Eloisa Medina","7.85","7.36","25.01",".850",".50","511","5","3",".01","120","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{206A68BE-C972-4A51-9305-34264B4C60CA}"
"64","","coo a","2002-06-11 00:00:00","1899-12-30 12:36:00","","Eloisa Medina","7.73","6.10","25.68",".530",".30","352","9","8",".03","120","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{C2DFB247-2BCD-4F60-A071-D9D6DE2314EB}"
"65","","coo c","2002-06-11 00:00:00","1899-12-30 08:50:00","","Eloisa Medina","7.65","8.38","22.83",".771",".50","353","14","10",".14","120","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{D1E2EA00-6E38-41EB-A133-22B3EEA79609}"
"66","","tro a","2002-06-10 00:00:00","1899-12-30 09:02:00","","Eloisa Medina","7.63","5.41","26.69",".770",".50","308","6","9",".07","120","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{329AED5F-9254-4506-8F8F-A28827D8C8A0}"
"67","","rib a","2002-06-11 00:00:00","1899-12-30 14:26:00","","Eloisa Medina","7.61","7.34","30.57",".751",".50","380","14","16",".19","300","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{14E2201D-6D93-428D-B14B-7FFB99EB9E85}"
"68","","dan a","2002-06-11 00:00:00","1899-12-30 14:50:00","","Eloisa Medina","7.61","4.65","27.38",".826",".50","375","32","37",".03","250","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{A459AD31-E144-4709-A89B-A9D8E7F6AF1E}"
"69","","coo b","2002-06-11 00:00:00","1899-12-30 10:18:00","","Eloisa Medina","7.53","6.34","23.37",".635",".40","357","34","37",".20","250","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{D5DA26B2-207C-4617-A17B-DCA3DFB8CF3A}"
"70","","tur c","2003-04-16 00:00:00","1899-12-30 11:49:00","","Tamara Elliot","7.47","7.50","19.33",".647",".04","315","13","16",".85","120","148",".490",".690",".030",".35",".000","29.00","0",".000","","","","NO ","NO ","NO ","NO ","creek higher than normal algae present trash present ","","","","","","","","{F39B367D-8F78-46AB-8900-204037270342}"
"71","","tur b","2003-04-16 00:00:00","1899-12-30 10:40:00","","Tamara Elliot","7.68","9.26","19.14",".707",".05","3","11","12",".26","250","212",".330",".580",".040",".38",".000",".00","0",".000","","","","NO ","NO ","NO ","NO ","Erosion,algae,rock bassin","","","","","","","","{B0B0F6C5-EA48-4362-9ACE-06FDAE9C95AD}"
"72","","tur a","2003-04-16 00:00:00","1899-12-30 09:29:00","","Tamara Elliot","7.39","6.15","18.85",".936",".04","353","13","",".00","250","308",".520","1.180",".060",".85",".000",".00","0",".000","","","","NO ","NO ","NO ","NO ","Trash evident high algae","","","","","","","","{8EB80220-F94F-43DF-B1DA-6C80D8C91599}"
"73","","ela b","2002-01-29 00:00:00","1899-12-30 10:15:00","","Cesar Cavazos","8.43","11.39","17.38",".542",".40","342","5","8",".08","300","","","","","","","","","","","","","NO ","NO ","NO ","NO ","","","","","","","","","{053B3DA2-86C2-4127-869C-3347F917D18E}"
"74","","far b","2001-02-21 00:00:00","1899-12-30 11:14:00","","Eloisa Medina","8.09","8.81","16.10",".745",".40","339","3","8",".04","120","310",".280","2.500",".003",".00","",".00","",".000","1.000","","","NO ","NO ","NO ","NO ","","","","","","","","","{001ABE81-A1BA-4DBF-A723-DA3A187881EC}"
"75","","joe a","2001-02-21 00:00:00","1899-12-30 10:21:00","","Eloisa Medina","7.83","8.48","25.52",".555",".40","","9","16",".00","","1020",".280","3.500",".017",".00","",".00","",".000","","","","NO ","NO ","NO ","NO ","","","","","","","","","{8EEA566C-2FEB-4FE0-9FBB-98100BBF76C5}"
"76","","joe b","2001-02-21 00:00:00","1899-12-30 09:20:00","","Eloisa Medina","8.33","10.88","25.58",".308",".20","","2","1",".82","120","350",".000","4.500",".000",".00","",".00","",".000","","","","NO ","NO ","NO ","NO ","","","","","","","","","{00266EDC-998B-4C0F-869F-1C34395A76E9}"
"77","","ten c","2001-06-08 00:00:00","1899-12-30 11:20:00","","Eloisa Medina","8.12","7.75","24.67",".534",".30","","5","7",".10","","50",".000","1.600",".000",".00","",".00","",".000","","","","NO ","NO ","NO ","NO ","Hard-250","","","","","","","","{FEDC356D-6BBE-4110-BD36-6569F7C1EEA5}"
"78","","ten a","2001-06-08 00:00:00","1899-12-30 12:19:00","","Eloisa Medina","8.31","9.43","24.78",".554",".40","","6","15",".05","","50",".340","1.400",".004",".08","","1.00","",".000","","","","NO ","NO ","NO ","NO ","Hard/400","","","","","","","","{B2536088-F6C1-4404-8B97-5E84046CC03D}"
"79","","ten b","2001-06-08 00:00:00","1899-12-30 10:01:00","","Eloisa Medina","8.17","7.45","24.52",".516",".30","","5","16",".03","","180",".000","1.300",".003",".00","","3.00","",".010","","","","NO ","NO ","NO ","NO ","Low water","","","","","","","","{C69C4CF8-1F2F-4745-B329-033EFAAA5A7F}"
"80","","ten d","2001-06-08 00:00:00","1899-12-30 08:29:00","","Eloisa Medina","6.74","6.74","25.22",".525",".30","","42","36",".00","","10",".510","1.400",".098",".02","","3.00","",".000","","","","YES","YES","YES","NO ","Hard-250","","","","","","","","{B9F713CF-65A2-447D-AFC4-B0B39972CBE5}"
"81","","tro a","2001-06-26 00:00:00","1899-12-30 11:07:00","","Eloisa Medina","8.70","12.68","26.81",".795",".50","185","","",".25","425","",".500",".500",".004",".00","","26.00","",".000","","","","NO ","NO ","NO ","NO ","","","","","","","","","{DA65F9E7-65A3-4028-88B3-D23D204FB825}"
"82","","tur a","2001-06-26 00:00:00","1899-12-30 10:41:00","","Eloisa Medina","7.65","9.07","24.36",".892",".60","212","","","","","",".280",".700",".015",".00","","17.00","",".000","","","","NO ","NO ","NO ","NO ","","","","","","","","","{B2291CB5-A028-4883-8062-978BC36E2FCD}"
"83","","tur b","2001-06-26 00:00:00","1899-12-30 09:45:00","","Eloisa Medina","7.97","8.01","24.43",".614",".40","210","4","2",".80","250","",".190",".800",".019",".00","","13.00","",".000","","","","NO ","NO ","NO ","NO ","","","","","","","","","{36E2E70B-6A8E-4B75-B796-493C7110BECD}"
"84","","tur c","2001-06-26 00:00:00","1899-12-30 08:28:00","","Eloisa Medina","7.62","3.78","25.68",".516",".30","266","0","0","1.28","250","",".000","1.300",".044",".00","","17.00","",".150","","","","NO ","NO ","NO ","NO ","","","","","","","","","{411C4549-09E5-461B-BEEB-4671C8BA51B1}"
"85","","spc a","2001-06-23 00:00:00","1899-12-30 11:41:00","","Eloisa Medina","7.92","10.70","24.07",".515",".30","22","0","0",".23","250","",".280","2.100",".010",".00","","3.00","",".000","","","","NO ","NO ","NO ","NO ","","","","","","","","","{F3E944A2-5241-4EAA-B723-82ECDC114766}"
"86","","par a","2001-06-23 00:00:00","1899-12-30 10:35:00","","Eloisa Medina","7.52","3.15","25.21",".800",".50","22","32","49","1.79","250","",".920",".700",".000",".00","","15.00","",".020","","","","NO ","NO ","NO ","NO ","","","","","","","","","{3F8FFEB9-B2AF-41CC-AFDE-75874D49111B}"
"87","","smc a","2001-06-23 00:00:00","1899-12-30 08:39:00","","Eloisa Medina","7.93","9.34","25.34",".480",".30","600","3","1",".09","120","",".020",".900",".005",".00","","12.00","",".000","","","","NO ","NO ","NO ","NO ","","","","","","","","","{80455A5E-4720-4806-B04E-06BAD686DF7E}"
"88","","far a","2001-02-21 00:00:00","1899-12-30 09:41:00","","Eloisa Medina","8.11","8.36","14.99",".625","","","18","12",".46","120","130",".840","2.000",".014",".00","","2.00","",".000","","","","NO ","NO ","NO ","NO ","","","","","","","","","{C96FB11A-B554-4EBC-8251-D371F9838E48}"
