"WET_WEATHER_SAMPLING_ID","EMPLOYEE_ID","EMPLOYEE_NAME","SITE_ID","SITE_COMMON_NAME","SAMPLE_DATE","SAMPLE_TIME","TEMPERATURE","CONDUCTIVITY","DO","PH","TOT_DISSOLVED_SOLID","TURBIDITY","TOT_SUSPENDED_SOLID","CHLORINE","HARDNESS","CHEM_OXYGEN_DEMAND","NITRITE","NITRATE","FECAL_COLIFORM","PHOSPHOROUS","LEAD","IRON","COPPER","ALUMINUM","CHROMIUM_HEXAVALENT","MOLYBDENUM","SULPHATE","FLUORIDE","DETERGENT","NICKEL","FREE_CHLORINE","CADMIUM","TOTAL_CHROMIUM","MANGANESE","OIL_OR_GREASE","SILVER","ZINC","TPH","BOD","FLOATABLES","OIL_SHEEN","LEAVES","GRASS_CLIPPINGS","SEWAGE_PRESENT","SEWAGE_ODOR","SOLVENT_ODOR","PETROLEUM_ODOR","FISH_ODOR","OTHER_ODOR","COMMENTS","AMMONIA","E_COLI","NITRATE_NITRITE","ROWID"
"29","","","","CEDR1","2000-10-29 00:00:00","First Flush","19.90",".200","7.87","7.22","","194.00","215","","175","48.00","","","","1.180","","1.200",".000","","","","","","","","","","","","","","","","","Few","Few","None","None","None","No","No","No","No","No","","","","","{C07D0702-AB52-4058-97E3-6FE8BC4C56F4}"
"30","","","","CEDR1","2000-10-29 00:00:00","Thirty Time","19.90",".210","7.78","7.00","","167.00","181","","120","","","","","","","","","","","","","","","","","","","","","","","","","Few","None","Moderate","Few","None","No","No","No","No","No","","","","","{E71109A9-FECA-4F47-8096-98372FD68130}"
"31","","","","CEDR1","2000-10-15 00:00:00","Thirty Time","23.10","","7.44","7.26","","396.00","454","","120","","","","","","","","","","","","","","","","","","","","","","","","","Moderate","Few","Few","None","None","No","No","No","No","No","","","","","{4EA964EE-CF39-4D7A-86A9-8345F25BA568}"
"32","","","","CEDR1","2000-10-15 00:00:00","Zero Time","24.30","39.000","7.27","7.10","","185.00","","","85","","","","","","","","","","","","","","","","","","","","","","","","","Few","None","Few","None","None","No","No","No","No","No","","","","","{D9594745-D5BC-4341-BDAB-E49D3C726198}"
"33","","","","CEDR1","2000-10-29 00:00:00","Zero Time","20.10",".200","6.78","7.13","","206.00","215","","120","","","","","","","","","","","","","","","","","","","","","","","","","Moderate","Few","Few","None","None","No","No","No","No","No","","","","","{C2B546F6-9E8D-46EC-A8A6-E3E612D9D922}"
"34","","","","CEDR1","2000-10-15 00:00:00","Composite","","","","","","","","","","70.00",".00",".80","","3.680","",".010",".000","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{BBBAE657-B73F-4011-8E39-2B1B8368ECF1}"
"35","","","","COOM1","2000-10-15 00:00:00","45 Time","21.91",".090","9.49","8.54","","516.00","1067",".00","","","","","","","","","","","","","","","","","","","","","","","","","","Severe","","","","","No","No","No","No","No","","","","","{0531F866-E5E8-47F2-A2DE-24ACDA1DB5E8}"
"36","","","","COOM1","2000-10-15 00:00:00","60 Time","21.80",".020","9.78","8.69","","1070.00","1067",".02","120","","","","","","","","","","","","","","","","","","","","","","","","","Severe","None","Moderate","Few","None","No","No","No","No","No","","","","","{53AD2CBB-F383-4E8E-89CF-AB7D758FE1D8}"
"37","","","","COOM1","2000-10-15 00:00:00","Background","21.50",".580","10.86","8.24","","5.00","7","2.20","120","3.00",".00","1.30","","1.100",".00",".000",".000","","","","","","","","","","","","","","","","","Few","None","Moderate","Few","None","No","No","No","No","No","","","","","{B5DF0622-B301-4273-B44A-BA20A6DAB892}"
"38","","","","COOM1","2000-10-15 00:00:00","Fifeteen Time","22.21",".020","9.90","8.16","","275.00","328",".03","250","","","","","","","","","","","","","","","","","","","","","","","","","Severe","None","None","None","None","No","No","No","No","No","","","","","{88A36A81-5E7D-4597-925E-9E604BD8CC5C}"
"39","","","","COOM1","2000-10-15 00:00:00","First Flush","22.25",".470","9.10","8.11","","40.00","55",".01","150","56.00","","","","1.970",".00",".000",".000","","","","","","","","","","","","","","","","","Moderate","Few","Few","None","None","No","No","No","No","No","","","","","{26B0050B-8C6E-4A08-8A17-61B95EB1FD02}"
"40","","","","COOM1","2000-10-15 00:00:00","Thirty Time","22.30",".060","8.28","8.28","","516.00","654","","300","","","","","","","","","","","","","","","","","","","","","","","","","Severe","None","Few","None","None","No","No","No","No","No","","","","","{FD00BFD9-2B16-481F-9D91-3139C32D6FD0}"
"41","","","","COOM1","2000-10-15 00:00:00","Zero Time","22.76",".220","9.37","8.33","","108.00","138","","120","","","","","","","","","","","","","","","","","","","","","","","","","Severe","None","Moderate","None","None","No","No","No","No","No","","","","","{7BB8DCAA-92A4-423C-8933-1EABBB0990D6}"
"42","","","","COOM1","2000-10-15 00:00:00","Composite","","","","","","","","","","92.00",".60","1.20","","5.500","",".070",".000","","","","","","","","","","","","","","","","","","","","","","No","No","No","No","No","","","","","{E8DDAC26-CFD1-4A4D-9619-5D559FD67F6E}"
"43","","","","COOM1","2001-02-24 00:00:00","Background","17.12",".570","10.21","8.11",".30","5.00","6",".08","200",".00",".04","6.00","",".090","",".000",".000","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{A2457B27-F315-42C0-9F1F-E264FA545147}"
"44","","","","COOM1","2001-02-24 00:00:00","First Flush","17.12",".600","10.17","7.84",".24","30.00","34",".21","120","28.00",".04","4.20","",".600","",".020",".080","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{FA8DC271-DBD2-4DFB-BF43-803C79C6099A}"
"45","","","","COOM1","2001-02-24 00:00:00","Zero Time","16.70",".570","10.20","7.82",".30","119.00","34",".24","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{6FB570FE-098D-48B2-AFD5-D5AE9A9E4F38}"
"46","","","","COOM1","2001-02-24 00:00:00","Fifeteen Time","16.81",".480","10.21","7.81",".27","119.00","126",".57","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{5BF6B423-3C81-446B-A577-068590635700}"
"47","","","","COOM1","2001-02-24 00:00:00","Thirty Time","16.89",".540","10.00","7.84",".28","99.00","110","","250","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{BB32D12A-CFCE-4946-9320-CFEBE776E493}"
"48","","","","COOM1","2001-02-24 00:00:00","45 Time","16.80",".060","10.14","7.83",".30","132.00","132",".79","200","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{D86D1DCC-9E54-4FC7-B9B8-86D49C16303E}"
"49","","","","COOM1","2001-02-24 00:00:00","60 Time","16.88",".030","10.18","7.83",".32","114.00","116",".91","200","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{7914F990-5FBF-468B-8B03-194B5C99732F}"
"50","","","","COOM1","2001-02-24 00:00:00","Composite","","","","","","","","","","24.00",".04","4.20","",".900","",".000",".000","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{5F6903B0-472A-4CCF-B2F5-F1657AE4E934}"
"51","","","","ELAM1","2000-10-15 00:00:00","45 Time","21.15","30.010","8.24","8.24","","969.90","578","2.02","","",".00","","","","","","","","","","","","","","","","","","","","","","","None","","","","","No","No","No","No","No","","","","","{6183BC8B-4DCC-4478-AD18-29285ABE3A8D}"
"52","","","","ELAM1","2000-10-15 00:00:00","60 Time","21.76",".040","10.35","8.24","","997.90","278","1.33","50","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{C6DCE531-B4E5-4E6C-AF4F-17E77148048E}"
"53","","","","ELAM1","2000-10-15 00:00:00","Background","22.96",".380","12.60","8.17","","21.70","13",".00","120","13.00",".00","1.00","",".980",".00",".000",".000","","","","","","","","","","","","","","","","","None","None","Few","None","None","No","No","No","No","No","","","","","{E2C7342E-A453-4287-AFF8-8F1DA4087D40}"
"54","","","","ELAM1","2000-10-15 00:00:00","Fifeteen Time","21.82",".280","7.74","8.33","","1000.00","118",".00","250","","","","","","","","","","","","","","","","","","","","","","","","","None","None","Few","None","None","No","No","No","No","No","","","","","{62366577-0421-45F0-9472-4D34A29FA30A}"
"55","","","","ELAM1","2000-10-15 00:00:00","First Flush","22.53",".380","8.83","8.28","","65.40","54","","120","13.00","","","",".980","",".000",".000","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{61CAFD0C-47A0-49B2-BFA8-035325AEF0C6}"
"56","","","","ELAM1","2000-10-15 00:00:00","Thirty Time","21.86",".300","7.57","8.10","","665.20","95","","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{FC5ADAE3-5839-4760-88A2-38C0A8E1D283}"
"57","","","","ELAM1","2000-10-15 00:00:00","Zero Time","22.55",".250","8.96","8.35","","2207.00","54","","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{3FC1D6F4-2F7B-4782-9C10-9BAF3D1F8A17}"
"58","","","","ELAM1","2001-02-23 00:00:00","Background","10.16",".640","10.16","7.83",".31","6.00","5",".38","120",".00",".04","1.70","",".410","",".000",".000","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{CDDC4321-22DE-4E2A-BE13-E66B62884F2E}"
"59","","","","ELAM1","2001-02-23 00:00:00","First Flush","12.30",".640","8.49","7.64",".20","56.00","46",".31","120","56.00",".03","1.70","",".300","",".000",".000","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{548B97AC-FC8A-451A-801E-76D6179B45BB}"
"60","","","","ELAM1","2001-02-23 00:00:00","Zero Time","12.34",".280","8.39","7.38",".20","53.00","51",".25","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{0CE0271F-4ED2-4806-B29C-570E0048BC18}"
"61","","","","ELAM1","2001-02-23 00:00:00","Fifeteen Time","12.34",".280","7.70","7.62",".20","48.00","46",".25","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{A37257E0-6B15-41D2-A96A-7C3B2D959AAF}"
"62","","","","ELAM1","2001-02-23 00:00:00","Thirty Time","12.39",".290","7.38","7.62",".20","48.00","49",".32","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{4E33F617-317E-40B8-8BF1-C83266E1DC66}"
"63","","","","ELAM1","2001-02-23 00:00:00","45 Time","12.41",".280","6.31","7.62",".20","45.00","47",".22","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{7F1B3C89-AB48-4A79-BD2C-F9E8D8E77510}"
"64","","","","ELAM1","2001-02-23 00:00:00","60 Time","12.42",".290","6.37","7.62",".20","49.00","43",".22","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{ED81CB2C-95CD-4705-B3E8-B2E4B0CE6188}"
"65","","","","ELAM1","2001-02-24 00:00:00","Composite","","","","","","","",".00","","56.00",".03","1.70","",".410","",".000",".000","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{9B2C4862-6EEE-4AFD-B362-6D2DDF569057}"
"66","","","","ELMT1","2000-10-15 00:00:00","Composite","","","","","","","","","","54.00",".00","1.00","","3.250","",".000",".000","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{FC37435E-E967-4B47-BCB7-29DA543584B2}"
"67","","","","HUTT1","2001-02-12 00:00:00","Background","10.00",".540","16.03","8.58","","8.00","5",".00","120","14.00",".05",".50","",".000","",".000",".000","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{DD04DD07-AE1A-4237-BBB8-E437C0BEFC5F}"
"68","","","","HUTT1","2001-02-12 00:00:00","First Flush","10.86",".170","10.33","9.00","","382.00","466",".00","120","14.00",".00",".40","",".910","",".000",".000","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{CB353AD7-D1DD-427E-B524-75A77FC44488}"
"69","","","","HUTT1","2001-02-12 00:00:00","Zero Time","10.81",".110","10.33","9.21","","463.00","579",".00","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{7B641081-42F3-4000-BC71-86A25D45279A}"
"70","","","","HUTT1","2001-02-12 00:00:00","Fifeteen Time","10.81",".090","9.40","9.11","","345.00","410",".00","100","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{60908C3B-969F-419D-8266-FE382A1C5437}"
"71","","","","HUTT1","2001-02-12 00:00:00","Thirty Time","10.78",".100","9.88","8.95","","270.00","329",".00","100","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{F5B210E1-C16F-4A58-B6E9-5AD050BA8976}"
"72","","","","HUTT1","2001-02-12 00:00:00","45 Time","10.91",".100","9.42","8.88","","267.00","307",".00","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{D7E76508-E484-4076-94AC-FBFCD161421D}"
"73","","","","HUTT1","2001-02-12 00:00:00","60 Time","11.01",".160","9.44","8.79","","302.00","358",".00","100","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{435408AF-0500-443D-9351-15ED9F34821A}"
"74","","","","HUTT1","2001-02-12 00:00:00","Composite","","","","","","","","","","29.00",".00",".40","",".910","",".000",".000","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{2DB27526-2CD1-4B44-AF93-3B5DAAF5A6CB}"
"75","","","","HUTT1","2001-02-20 00:00:00","Background","10.50",".530","12.91","8.20","","5.00","6",".46","400",".02",".00",".80","",".380","",".000",".000","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{E92EEE0E-FA1D-403A-B1B3-28B70BA38B91}"
"76","","","","HUTT1","2001-02-23 00:00:00","First Flush","13.36",".340","8.36","7.85","","306.00","322",".00","120","73.00",".05",".80","","4.310","",".000",".000","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{E3876B25-5896-4E91-AEA2-62FBAAF797C3}"
"77","","","","HUTT1","2001-02-23 00:00:00","Zero Time","13.39",".320","8.80","7.99","","300.00","315",".00","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{75C90464-40C8-41F0-A46F-170050193E48}"
"78","","","","HUTT1","2001-02-23 00:00:00","Fifeteen Time","23.39",".230","9.66","8.04","","13.42","229",".00","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{DD968532-C8D3-4A2E-8859-17E70743F16B}"
"79","","","","HUTT1","2001-02-22 00:00:00","Thirty Time","13.46",".270","9.65","8.04","","161.00","194",".00","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{2ED9BEDF-2E7E-4789-A1E0-0C6667E5F5EE}"
"80","","","","HUTT1","2001-02-23 00:00:00","45 Time","13.42",".240","9.82","7.92","","127.00","157",".00","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{D7BCBA52-8F03-4600-ACAB-361950F3FDE4}"
"81","","","","HUTT1","2001-02-23 00:00:00","60 Time","13.46",".280","9.80","7.85","","128.00","122",".00","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{92638D8E-925C-4A95-BDC4-DF4FF7DB80E1}"
"82","","","","HUTT1","2001-02-23 00:00:00","Composite","","","","","","","","","","80.00",".03","1.80","","4.310","",".000",".000","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{DF8B520D-9876-4E64-A713-4D1F76899050}"
"83","","","","JOES1","2000-03-10 00:00:00","First Flush","14.80",".630","8.00","7.12","","24.00","30",".00","75",".00","","","",".000",".00",".000",".000","","","","","","","","","","","","","","","","","Few","None","Moderate","Few","None","No","No","No","No","No","","","","","{B89E03A7-7F54-4A07-869E-B1E4F5302D0E}"
"84","","","","LFMC","2002-01-30 00:00:00","Background","16.73",".540","8.47","7.97",".30","6.00","4",".10","300",".00",".01","1.90","",".130","",".010",".000","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{84555D97-ADDA-4B20-8BAA-49FF99870F46}"
"85","","","","LFMC","2002-01-31 00:00:00","First Flush","12.91",".540","9.05","7.72","4.00","100.00","95",".00","250","3.00",".00","1.50","",".120","",".040",".000","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{BF215625-90ED-4EE9-BEC0-2B0800BA0610}"
"86","","","","LMDC1","2001-04-11 00:00:00","Zero Time","21.30",".790","5.79","7.72","","25.00","45",".00","225","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{7B3AD8DF-D296-44E8-93E2-28DFB844E2EB}"
"87","","","","LWRC1","2001-08-17 00:00:00","Background","24.14","1.030","3.89","7.88","","14.00","12",".00","250","24.00",".02",".12","",".300","","1.000",".000","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{B4803C55-D6D6-4C4C-90D9-BDBE9DFF170B}"
"88","","","","LWRC1","2001-08-17 00:00:00","First Flush","28.21","1.140","2.82","7.74","","47.00","36",".00","120","31.00",".01",".12","",".300","","1.000",".000","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{5B1F4A6F-9A8E-4BAB-8696-0C9533115A1C}"
"89","","","","LWRC1","2001-08-17 00:00:00","Zero Time","28.00","1.110","3.22","7.80","","97.00","36",".00","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{91CBCD9B-6108-41CB-8270-ABBD8F0B7EE0}"
"90","","","","LWRC1","2001-08-17 00:00:00","Fifeteen Time","27.91","1.090","3.53","7.80","","91.00","100",".00","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{0871A814-7819-4663-B83C-F7DB2E1C1119}"
"91","","","","LWRC1","2001-08-17 00:00:00","Thirty Time","27.74","1.060","2.92","7.85","","91.00","135",".00","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{E979EF03-2CCA-4AA9-B285-A8BEE7CA59DD}"
"92","","","","LWRC1","2001-08-17 00:00:00","45 Time","27.74","1.010","3.51","7.88","","147.00","158",".00","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{D7087836-EBFA-40AA-8553-CAAB98E3DAC1}"
"93","","","","LWRC1","2001-08-17 00:00:00","60 Time","27.63",".980","2.88","8.00","","256.00","282",".00","100","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{EC457B58-94D9-4510-BD9F-617D185A81BA}"
"94","","","","LWRC1","2001-08-17 00:00:00","Composite","","","","","","","","","","36.00",".02",".12","",".960","","1.000",".000","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{1D848CF3-3034-4EC2-9DAF-7F8D50AE7DDC}"
"95","","","","LWRC1","2001-08-30 00:00:00","Background","26.09",".560","4.37","8.75",".40",".61","40",".00","120","11.00",".00",".38","",".510","",".800",".010","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{2C6F2969-65B5-48A7-9799-18C4FB7EAEE6}"
"96","","","","LWRC1","2001-08-30 00:00:00","First Flush","26.18",".580","4.60","8.72",".40","151.00","51",".00","120","48.00",".00","1.70","",".340","","2.400",".010","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{D813F394-1201-4BA1-B916-D41746341D67}"
"97","","","","LWRC1","2001-08-30 00:00:00","Zero Time","26.22",".580","4.56","8.80",".40","83.00","53",".00","0","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{3931F4A1-A806-468D-BA31-44520CE1F6EE}"
"98","","","","LWRC1","2001-08-30 00:00:00","Fifeteen Time","26.05",".560","4.72","8.65",".40","83.00","53",".00","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{0C4758B0-7EDD-466A-950A-3A901A40B3E6}"
"99","","","","LWRC1","2001-08-30 00:00:00","Thirty Time","25.74",".530","3.75","8.55",".30","108.00","54",".00","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{19648C0C-E3FA-462E-92E7-920A8A8DC81F}"
"100","","","","LWRC1","2001-08-30 00:00:00","45 Time","25.70",".540","4.01","8.55",".30","74.00","54",".00","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{36CE4B21-DE95-46F0-8D3B-5A578B72CAFA}"
"101","","","","LWRC1","2001-08-30 00:00:00","60 Time","26.00",".560","4.01","8.62",".40","77.00","64",".00","120","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{5412E419-A1B0-48A6-B02C-3E44C7531529}"
"102","","","","LWRC1","2001-08-30 00:00:00","Composite","","","","","","","","","","26.00",".00",".22","",".680","",".500",".010","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{8FA767C6-9805-4E1F-AB6C-9E91573AAF41}"
"103","","","","UDUC1","2001-02-12 00:00:00","Background","22.15",".740","5.93","7.73","","8.00","3",".00","300","27.00",".57","8.50","","1.000","",".040",".000","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{F9FFEBB8-CBEE-4D06-8EC3-65FF31B4096B}"
"104","","","","UDUC1","2001-04-11 00:00:00","First Flush","21.40",".740","5.96","7.71","","40.00","42",".07","250","9.90",".59","9.90","",".590","",".040",".000","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{B90BC9E3-A13F-4D33-9975-75FCECEFAD2D}"
"105","","","","UDUC1","2001-04-11 00:00:00","Fifeteen Time","21.40",".780","5.77","7.70","","26.00","45",".02","225","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{B3A32557-AEE3-4A18-9B58-29FE2109AADC}"
"106","","","","UDUC1","2001-04-11 00:00:00","Thirty Time","21.42",".750","5.71","7.40","","20.00","35",".00","200","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{391435D7-5A9A-43DB-B5F1-79C00B9DF9D0}"
"107","","","","UDUC1","2001-04-11 00:00:00","45 Time","21.40",".730","21.40","7.40","","21.00","33",".02","200","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{B4654FEC-B7E1-4D01-85B0-4F56C287BA5C}"
"108","","","","UDUC1","2001-04-11 00:00:00","60 Time","21.40",".020","5.79","7.60","","18.00","29",".02","200","","","","","","","","","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{31C98B06-F0AA-45E2-A796-0DE41BDC1C35}"
"109","","","","UDUC1","2001-04-11 00:00:00","Composite","","","","","","","","","","29.00",".59","11.30","",".590","",".080",".000","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{B4A40A7B-549A-4970-96F3-A40C13DCE0A4}"
"110","","","","UDUC1","2001-03-08 00:00:00","Background","15.55",".710","8.28","7.97","","3.00","8",".00","250","16.00",".12","5.20","",".970","",".080",".000","","","","","","","","","","","","","","","","","None","None","None","None","None","No","No","No","No","No","","","","","{B8CC6FA7-FADC-45CC-8308-C058FE9A5A0C}"
