"SAMPLING_EVENTS_ID","CUSTODY_NUMBER","SWM_SITE_ID","SWM_SITE_NUMBER","SITE_ADDITIONAL_DESCRIPTION","PROGRAM_CATEGORY","SAMPLE_TYPE","MATRIX_TYPE","SWM_WATERSHED","HUC_12_WATERSHED","HUC_12_WATERSHED_NAME","LOCATION_DESCRIPTION","COLLECT_DATE","COLLECT_TIME","SAMPLER_NAME","DATE_ANALYZED","LATITUDE","LONGITUDE","COMMENTS","APPROVED_BY","DATE_LAB_DATA_RECVD","RECORD_CREATED","APPROVED_DATE","NUMBER_OF_CONTAINERS","TURN_AROUND_TIME","SAMPLES_FOR_LAB","MODIFIED_BY","HUC_12_SUBNAME","EVENT_COMMENT","DUPLICATE","HABITAT_SCORE","HABITAT_FLAG","LABORATORY","STREAM_LOCATION","GBA_SN_ID","FLOW_SEVERITY","DAYS_SINCE_LAST_RAINFALL","INSTANTANEOUS_FLOW","OUTFALL_NUM","ROWID"
"143","20100407-PD-1_dup","tur-c","","","Bioassessment","Grab","Water","DALW","120301050101","Headwaters Turtle Creek","3858 Turtle Creek  DR","2010-04-07 00:00:00","2010-04-07 00:21:00","pablo.davila","2010-04-07 00:00:00","","","","","","2010-04-16 00:00:00","","3","Normal","True","","Headwaters Turtle Creek - DLWAR","","True","","","XENCO","","","","","","","{45D56E55-E7B8-46DC-BA51-3C0032517FD7}"
"144","20100405-PD-1","par-a","","","Bioassessment","Grab","Water","PARS","0","0","1700 malloy bridge rd","2010-04-05 00:00:00","2010-04-05 09:44:00","pablo.davila","2010-04-05 00:00:00","","","","","","2010-04-16 00:00:00","","3","Normal","True","","","","","","","XENCO","","","","","","","{CD2843E0-B938-41A0-B7DF-F714323F0888}"
"145","20100406-PD-1","TRO-C","","","Bioassessment","Grab","Water","DAEB","120301050101","Headwaters Turtle Creek","1600 Viceroy","2010-04-06 00:00:00","2010-04-06 00:04:00","pablo.davila","2010-04-06 00:00:00","","","","","","2010-04-16 00:00:00","","3","Normal","True","","Headwaters Turtle Creek - DALEB","","","","","XENCO","","","","","","","{391D1B60-97C0-45CB-BD98-F7045552BE8F}"
"146","20100406-PD-2","LBAC-1","","","Bioassessment","Grab","Water","LBAC","120301031007","Bachman Branch-Elm Fork Trinity River","9400 Harry Hines Blvd","2010-04-06 00:00:00","2010-04-06 11:31:00","pablo.davila","2010-04-06 00:00:00","","","","","","2010-04-16 00:00:00","","3","Normal","True","","Bachman Branch-Elm Fork Trinity River - LOBCK","","","","","XENCO","","","","","","","{977000BF-0099-46E9-B2A5-5714078EA5BC}"
"147","20100415-PD-1","fil-a","","","Bioassessment","Grab","Water","DAWB","120301050102","Turtle Creek-Trinity River","3680 holystone st","2010-04-15 00:00:00","2010-04-15 09:07:00","pablo.davila","2010-04-15 00:00:00","","","","","","2010-04-16 00:00:00","","3","Normal","True","pablo.davila","Turtle Creek-Trinity River - DALWB","","","","","XENCO","","","","","","","{4D3A9B27-DCCD-45B8-8D2E-D612929B1618}"
"148","20100415-PD-2","DAEB-1","","","Bioassessment","Grab","Water","DAEB","120301050101","Headwaters Turtle Creek","1100 Conveyor, Hampton Pump Station ","2010-04-15 00:00:00","2010-04-15 09:42:00","pablo.davila","2010-04-15 00:00:00","","","","","","2010-04-16 00:00:00","","3","Normal","True","pablo.davila","Headwaters Turtle Creek - DALEB","","","","","XENCO","","","","","","","{72000F6F-6BD0-452D-BFC2-7175D993B028}"
"149","20100415-PD-3","DAEB-2","","","Bioassessment","Grab","Water","DAEB","120301050101","Headwaters Turtle Creek","2200 Irving Blvd, Baker Pump Station ","2010-04-15 00:00:00","2010-04-15 10:20:00","pablo.davila","2010-04-15 00:00:00","","","","","","2010-04-16 00:00:00","","3","Normal","True","pablo.davila","Headwaters Turtle Creek - DALEB","","","","","XENCO","","","","","","","{CB292926-1199-4B8B-8A58-EF6A61364733}"
"150","20100414-PD-1","moc-b","","","Bioassessment","Grab","Water","MLCD","120301020606","Fish Creek-Mountain Creek Lake","8900 w camp wisdom rd","2010-04-14 00:00:00","2010-04-14 08:50:00","pablo.davila","2010-04-14 00:00:00","","","","","","2010-04-16 00:00:00","","3","Normal","True","","Fish Creek-Mountain Creek Lake","","","","","XENCO","","","","","","","{96330201-BD3B-4A92-8DF1-6EC4D8972BBA}"
"151","20100414-PD-2","art-a","","","Bioassessment","Grab","Water","MLCD","120301020606","Fish Creek-Mountain Creek Lake","4200 mountain creek pkw","2010-04-14 00:00:00","2010-04-14 09:40:00","pablo.davila","2010-04-14 00:00:00","","","","","","2010-04-16 00:00:00","","3","Normal","True","","Fish Creek-Mountain Creek Lake","","","","","XENCO","","","","","","","{4216F4A5-961C-4538-B4D4-D5D00B32844D}"
"161","20100422-PD-1","spc-a","","","Bioassessment","Grab","Water","SPRC","120301060407","Pittman Creek-Spring Creek","41000 190 frwy","2010-04-22 00:00:00","2010-04-22 09:53:00","pablo.davila","2010-04-22 00:00:00","","","","","","2010-04-22 00:00:00","","3","Normal","True","pablo.davila","Pittman Creek-Spring Creek","","","","","XENCO","","","","","","","{A26BDB6D-A1EA-4978-A5FC-A8112CB84275}"
"162","20100422-PD-2","lon-b","","","Bioassessment","Grab","Water","UDUC","120301060501","Duck Creek","3263 weathervane ln","2010-04-22 00:00:00","2010-04-22 10:43:00","pablo.davila","2010-04-22 00:00:00","","","","","","2010-04-22 00:00:00","","3","Normal","True","pablo.davila","Duck Creek","","","","","XENCO","","","","","","","{9DA50A02-9149-46B5-A37F-429ACA18EBEB}"
"163","20100422-PD-3","wil-a","","","Bioassessment","Grab","Water","WRDM","120301050105","White Rock Creek-White Rock Lake","3800 branchfield dr","2010-04-22 00:00:00","2010-04-22 11:38:00","pablo.davila","2010-04-22 00:00:00","","","","","","2010-04-22 00:00:00","","3","Normal","True","pablo.davila","White Rock Creek-White Rock Lake","","","","","XENCO","","","","","","","{0F4B88CB-88F2-44EC-85ED-2903D148D5C6}"
"164","20100422-PD-4","mcc-a","","","Bioassessment","Grab","Water","WRDM","120301050105","White Rock Creek-White Rock Lake","3605 w lawther rd","2010-04-22 00:00:00","2010-04-22 11:58:00","pablo.davila","2010-04-22 00:00:00","","","","","","2010-04-22 00:00:00","","3","Normal","True","pablo.davila","White Rock Creek-White Rock Lake","","","","","XENCO","","","","","","","{A716AE8E-3B52-4D6E-AEAE-D8286A6373E0}"
"181","20100427-CN-1","fur-a","","","Bioassessment","Grab","Water","EFDC","120301031003","Indian Creek-Elm Fork Trinity River","2600 broadway st","2010-04-27 00:00:00","2010-04-27 10:00:00","cathleen.nelson","2010-04-27 00:00:00","","","","","","2010-04-27 00:00:00","","3","Normal","True","pablo.davila","Indian Creek-Elm Fork Trinity River","","","","","XENCO","","","","","","","{1EFA6DF2-9CE9-4DE5-9A66-BDA402E7339D}"
"182","20100427-CN-2","fur-b","","","Bioassessment","Grab","Water","EFDC","120301031003","Indian Creek-Elm Fork Trinity River","2700 old denton dr","2010-04-27 00:00:00","2010-04-27 10:38:00","cathleen.nelson","2010-04-27 00:00:00","","","","","","2010-04-27 00:00:00","","3","Normal","True","pablo.davila","Indian Creek-Elm Fork Trinity River","","","","","XENCO","","","","","","","{5A646057-DDCF-4A21-9178-0AD4D003844A}"
"183","20100427-CN-3","HUTT-1","","","Bioassessment","Grab","Water","HUTT","120301031004","Grapevine Creek-Elm Fork Trinity River","1800 Luna Rd","2010-04-27 00:00:00","2010-04-27 11:32:00","cathleen.nelson","2010-04-27 00:00:00","","","","","","2010-04-27 00:00:00","","3","Normal","True","pablo.davila","Grapevine Creek-Elm Fork Trinity River - HUTBR","","","","","XENCO","","","","","","","{F1AE982E-DE05-4419-9DC8-E1262242DBA8}"
"184","20100428-PD-1","CBD-1","","","Bioassessment","Grab","Water","DAEB","120301050101","Headwaters Turtle Creek","1007 McKinney Ave (Underneath Woodall Rogers Fwy)","2010-04-28 00:00:00","2010-04-28 08:56:00","pablo.davila","2010-04-28 00:00:00","","","","","","2010-04-28 00:00:00","","3","Normal","True","pablo.davila","Headwaters Turtle Creek - DALEB","","","","","XENCO","","","","","","","{A6D7CAAD-5B62-4553-8128-896CCE427097}"
"185","20100428-PD-2","DAWB-3","","","Bioassessment","Grab","Water","DAWB","120301050102","Turtle Creek-Trinity River","200 E. Greenbriar,   Coomb Creek Pump Station","2010-04-28 00:00:00","2010-04-28 09:32:00","pablo.davila","2010-04-28 00:00:00","","","","","","2010-04-28 00:00:00","","3","Normal","True","pablo.davila","Turtle Creek-Trinity River - DALWB","","","","","XENCO","","","","","","","{A9A43D3B-D9CA-49FE-9AE3-09D94B59DD05}"
"186","20100428-PD-3","WDAL-2","","","Bioassessment","Grab","Water","WDAL","120301020706","Delaware Creek-West Fork Trinity River","1302 Morocco Ave","2010-04-28 00:00:00","2010-04-28 10:30:00","pablo.davila","2010-04-28 00:00:00","","","","","","2010-04-28 00:00:00","","3","Normal","True","pablo.davila","Delaware Creek-West Fork Trinity River - DELCK","","","","","XENCO","","","","","","","{74D4AC7D-FCA4-4EBA-B6F1-DE7302A5A2C3}"
"187","20100428-PD-4","WDAL-2","","","Bioassessment","Grab","Water","WDAL","120301020706","Delaware Creek-West Fork Trinity River","1302 Morocco Ave","2010-04-28 00:00:00","2010-04-28 10:32:00","pablo.davila","2010-04-28 00:00:00","","","","","","2010-04-28 00:00:00","","3","Normal","True","pablo.davila","Delaware Creek-West Fork Trinity River - DELCK","","True","","","XENCO","","","","","","","{1C5BF2B7-0109-408F-AD4C-39DEDC714164}"
"188","20100428-PD-5","ELMT-1","","","Bioassessment","Grab","Water","ELMT","120301031007","Bachman Branch-Elm Fork Trinity River","100 N. Wildwood","2010-04-28 00:00:00","2010-04-28 11:28:00","pablo.davila","2010-04-28 00:00:00","","","","","","2010-04-28 00:00:00","","3","Normal","True","pablo.davila","Bachman Branch-Elm Fork Trinity River - EFTRR","","","","","XENCO","","","","","","","{9446A613-7D04-454E-A78B-EB33FFE6E797}"
"201","20100511-PD-1","ten-d","","","Bioassessment","Grab","Water","UTEN","120301050201","Headwaters Tenmile Creek","1304 westmoreland rd","2010-05-11 00:00:00","2010-05-11 10:16:00","pablo.davila","2010-05-11 00:00:00","","","","","","2010-05-25 00:00:00","","5","Normal","True","","Headwaters Tenmile Creek","","","","","XENCO","","","","","","","{B03B9EEF-FD10-47EF-8E78-FF44B9D3DD1F}"
"202","20100511-PD-2","fiv-d","","","Bioassessment","Grab","Water","UFIV","120301050107","Headwaters  Fivemile Creek","3235 s westmoreland rd","2010-05-11 00:00:00","2010-05-11 11:57:00","pablo.davila","2010-05-11 00:00:00","","","","","","2010-05-25 00:00:00","","5","Normal","True","pablo.davila","Headwaters  Fivemile Creek","","","","","XENCO","","","","","","","{E67E12FC-4661-469A-8E9A-F3A1EB8D91C8}"
"203","20100512-PD-1","cot-c","","","Bioassessment","Grab","Water","UMWR","120301050104","Floyd Branch-White Rock Creek","8500 spring valley rd","2010-05-12 00:00:00","2010-05-12 09:27:00","pablo.davila","2010-05-12 00:00:00","","","","","","2010-05-25 00:00:00","","5","Normal","True","","Floyd Branch-White Rock Creek","","","","","XENCO","","","","","","","{88B45C06-F5BA-46CA-857F-939BC9C5DD56}"
"204","20100512-PD-2","flo-a","","","Bioassessment","Grab","Water","UMWR","120301050104","Floyd Branch-White Rock Creek","8300 forest ln","2010-05-12 00:00:00","2010-05-12 11:33:00","pablo.davila","2010-05-12 00:00:00","","","","","","2010-05-25 00:00:00","","5","Normal","True","","Floyd Branch-White Rock Creek","","","","","XENCO","","","","","","","{C0426FF7-56B5-48A3-AD1A-A0EB794649CD}"
"205","20100513-PD-1","LMOC-1","","","Bioassessment","Grab","Water","LMOC","120301020706","Delaware Creek-West Fork Trinity River","6400 Singleton Blvd","2010-05-13 00:00:00","2010-05-13 09:12:00","pablo.davila","2010-05-13 00:00:00","","","","","","2010-05-25 00:00:00","","3","Normal","True","","Delaware Creek-West Fork Trinity River - LOMTC","","","","","XENCO","","","","","","","{2A9D4201-D3B9-4B89-B1E6-5F449620B712}"
"206","20100513-PD-1_dup","LMOC-1","","","Bioassessment","Grab","Water","LMOC","120301020706","Delaware Creek-West Fork Trinity River","6400 Singleton Blvd","2010-05-13 00:00:00","2010-05-13 09:15:00","pablo.davila","2010-05-13 00:00:00","","","","","","2010-05-25 00:00:00","","3","Normal","True","","Delaware Creek-West Fork Trinity River - LOMTC","","True","","","XENCO","","","","","","","{ECB74B1A-5CFF-4ED9-8898-E1604CA2D84E}"
"207","20100513-PD-2","WDAL-1","","","Bioassessment","Grab","Water","WDAL","120301020706","Delaware Creek-West Fork Trinity River","3300 Walton Walker Blvd","2010-05-13 00:00:00","2010-05-13 09:42:00","pablo.davila","2010-05-13 00:00:00","","","","","","2010-05-25 00:00:00","","3","Normal","True","","Delaware Creek-West Fork Trinity River - DELCK","","","","","XENCO","","","","","","","{048FDDE7-9D50-4125-A6E3-0970AAB6D636}"
"208","20100513-PD-3","DELA-1","","","Bioassessment","Grab","Water","DELA","120301020706","Delaware Creek-West Fork Trinity River","1800 S. Walton Waker Blvd","2010-05-13 00:00:00","2010-05-13 10:51:00","pablo.davila","2010-05-13 00:00:00","","","","","","2010-05-25 00:00:00","","3","Normal","True","","Delaware Creek-West Fork Trinity River - DELCK","","","","","XENCO","","","","","","","{A20A5D9C-C059-490F-915C-B56F96CE0E34}"
"209","20100520-PD-1","ela-b","","","Bioassessment","Grab","Water","ELAM","120301050108","Five Mile Creek-Trinity River","7107 hawn frwy","2010-05-20 00:00:00","2010-05-20 08:50:00","pablo.davila","2010-05-20 00:00:00","","","","","","2010-05-25 00:00:00","","5","Normal","True","","Five Mile Creek-Trinity River - ELAMC","","","","","XENCO","","","","","","","{8F10B504-9843-4919-9BC6-CCF81C31952D}"
"210","20100520-PD-2","tur-a","","","Bioassessment","Grab","Water","DAEB","120301050101","Headwaters Turtle Creek","3300 Maple Avenue","2010-05-20 00:00:00","2010-05-20 10:04:00","pablo.davila","2010-05-20 00:00:00","","","","paul.white","","2010-05-25 00:00:00","2011-03-28 00:00:00","5","Normal","True","paul.white","Headwaters Turtle Creek - DALEB","","","","","XENCO","","","","","","","{9E84E25A-974A-42E2-AEDA-2C14795C51F7}"
"223","20100507-CN-1","UWRC-1","","","Bioassessment","Grab","Water","UWRC","120301050103","Headwaters White Rock Creek","5900 Kelly Springs","2010-05-07 00:00:00","2010-05-07 11:05:00","cathleen.nelson","2010-05-07 00:00:00","","","","","","2010-05-27 00:00:00","","4","Normal","True","pablo.davila","Headwaters White Rock Creek","","","","","TTI","","","","","","","{8D7AB093-CDDD-400A-A7A8-C21F11BA96D0}"
"224","20100507-CN-2","jac-a","","","Bioassessment","Grab","Water","WRDM","120301050105","White Rock Creek-White Rock Lake","9200 kingsley rd","2010-05-07 00:00:00","2010-05-07 10:01:00","cathleen.nelson","2010-05-07 00:00:00","","","","","","2010-05-27 00:00:00","","4","Normal","True","andrew.morgan","White Rock Creek-White Rock Lake","***  Sample site moved to new location due to construction:
Sampled downstream of JAC-A site at 6910 Skillman (accessed through Everwood Apartment Homes)","","","","TTI","","","","","","","{72F3830C-3FEA-427A-A22E-CFA93D0E5406}"
"225","20100507-CN-3","bab-c","","","Bioassessment","Grab","Water","UBAC","120301031007","Bachman Branch-Elm Fork Trinity River","4714 park ln","2010-05-07 00:00:00","2010-05-07 11:55:00","cathleen.nelson","2010-05-07 00:00:00","","","","","","2010-05-27 00:00:00","","4","Normal","True","","Bachman Branch-Elm Fork Trinity River - UPBCK","*** Sample site location moved due to construction (rebuilding bridge); site moved downstream to 9301 Sunnybrook Ln.","","","","TTI","","","","","","","{C215BBEB-9846-4592-B8A1-B9BC86A1FE28}"
"241","20100601-PD-1","smc-b","","","Bioassessment","Grab","Water","USME","120301060504","South Mesquite Creek","1700 New Market Rd","2010-06-01 00:00:00","2010-06-01 10:40:00","pablo.davila","2010-06-01 00:00:00","","","","","","2010-06-01 00:00:00","","5","Normal","True","pablo.davila","South Mesquite Creek","","","","","TTI","","","","","","","{25E3B4AF-B971-4973-91BE-B0FE0C1E63EC}"
"242","20100601-PD-2","coo-a","","","Bioassessment","Grab","Water","COOM","120301050102","Turtle Creek-Trinity River","2022 edgefield ave","2010-06-01 00:00:00","2010-06-01 11:59:00","pablo.davila","2010-06-01 00:00:00","","","","","","2010-06-01 00:00:00","","5","Normal","True","pablo.davila","Turtle Creek-Trinity River - CMBCK","","","","","TTI","","","","","","","{1034FD0F-3B1E-4336-BE53-D17D8E3F8BFE}"
"243","20100602-PD-1","tro-a","","","Bioassessment","Grab","Water","DAEB","120301050101","Headwaters Turtle Creek","3110 stemmons frwy","2010-06-02 00:00:00","2010-06-02 08:32:00","pablo.davila","2010-06-02 00:00:00","","","","","","2010-06-02 00:00:00","","5","Normal","True","pablo.davila","Headwaters Turtle Creek - DALEB","","","","","XENCO","","","","","","","{62440809-9FB7-48F7-8C4A-B890F6CB4CF3}"
"244","20100602-PD-2","JOES-1","","","Bioassessment","Grab","Water","JOES","120301031007","Bachman Branch-Elm Fork Trinity River","2300 Stemmons Trail","2010-06-02 00:00:00","2010-06-02 09:34:00","pablo.davila","2010-06-02 00:00:00","","","","","","2010-06-02 00:00:00","","5","Normal","True","pablo.davila","Bachman Branch-Elm Fork Trinity River - NWDAL","","","","","XENCO","","","","","","","{66CC0841-7FFD-42DE-A58A-E8BBF0ACE6E5}"
"245","20100602-PD-3","EFCB-1","","","Bioassessment","Grab","Water","EFCB","120301031005","Farmers Branch-Elm Fork Trinity River","8000 Valley Ranch Pkwy","2010-06-02 00:00:00","2010-06-02 10:28:00","pablo.davila","2010-06-02 00:00:00","","","","","","2010-06-02 00:00:00","","5","Normal","True","pablo.davila","Farmers Branch-Elm Fork Trinity River - EFACB","","","","","XENCO","","","","","","","{2760373D-E7E1-4F34-9DCF-6FDEFC6A1A18}"
"246","20100519-PD-1","smc-c","","","Bioassessment","Grab","Water","USME","120301060504","South Mesquite Creek","1000 Peachtree Rd","2010-05-19 00:00:00","2010-05-19 09:48:00","pablo.davila","2010-05-19 00:00:00","","","","paul.white","","2010-06-02 00:00:00","2011-03-28 00:00:00","5","Normal","True","paul.white","South Mesquite Creek","","","","","XENCO","","","","","","","{83752CF3-CADD-4B20-A212-48D346F6CFDF}"
"247","20100525-PD-1","new-a","","","Bioassessment","Grab","Water","NEWT","120301050108","Five Mile Creek-Trinity River","9500 julius schepps frw","2010-05-25 00:00:00","2010-05-25 09:02:00","pablo.davila","2010-05-25 00:00:00","","","","","","2010-06-02 00:00:00","","5","Normal","True","","Five Mile Creek-Trinity River - NTNCK","","","","","XENCO","","","","","","","{BA66D1B7-1BAB-47F8-A2BE-4573D3C23283}"
"248","20100525-PD-2","pra-a","","","Bioassessment","Grab","Water","PRAI","120301050203","Upper Prairie Creek-Trinity River","8484 fireside dr","2010-05-25 00:00:00","2010-05-25 10:02:00","pablo.davila","2010-05-25 00:00:00","","","","","","2010-06-02 00:00:00","","5","Normal","True","","Upper Prairie Creek-Trinity River","","","","","XENCO","","","","","","","{F8BD62E8-D949-49AB-801B-47D6B68D7031}"
"249","20100524-PD-1","ten-b","","","Bioassessment","Grab","Water","UTEN","120301050201","Headwaters Tenmile Creek","202 houston school rd","2010-05-24 00:00:00","2010-05-24 09:31:00","pablo.davila","2010-05-24 00:00:00","","","","","","2010-06-02 00:00:00","","5","Normal","True","","Headwaters Tenmile Creek","","","","","XENCO","","","","","","","{4823494A-4AB4-4761-A108-FE0EBA36E07D}"
"250","20100524-PD-2","whc-c","","","Bioassessment","Grab","Water","UMWR","120301050105","White Rock Creek-White Rock Lake","8600 royal ln","2010-05-24 00:00:00","2010-05-24 11:19:00","pablo.davila","2010-05-24 00:00:00","","","","","","2010-06-02 00:00:00","","5","Normal","True","","White Rock Creek-White Rock Lake","","","","","XENCO","","","","","","","{F3C1F937-D2AB-4428-844B-14C9DBB58669}"
"251","20100524-PD-2_dup","whc-c","","","Bioassessment","Grab","Water","UMWR","120301050105","White Rock Creek-White Rock Lake","8600 royal ln","2010-05-24 00:00:00","2010-05-24 11:26:00","pablo.davila","2010-05-24 00:00:00","","","","","","2010-06-02 00:00:00","","5","Normal","True","","White Rock Creek-White Rock Lake","","True","","","XENCO","","","","","","","{721EAA0B-A352-46D5-843B-E1659261DB87}"
