"DW_OUTFALL_INSPECT_ID","EMPLOYEE_ID","EMPLOYEE_NAME","EMPLOYEE2_ID","EMPLOYEE2_NAME","INSPECTION_TIME","INSPECTION_DATE","GPS_NORTH","GPS_WEST","WATERSHED_CODE","STREAM_ID","STREAM_NAME","SWQ_ID","LOCATOR_MAP_GRID","OUTFALL_NODE_NUMBER","OUTFALL_ACCESS","OUTFALL_FLOW","OIL_SHEEN","SEWAGE_ODOR","SOLVENT_ODOR","PETROLEUM_ODOR","OTHER_ODOR","SAMPLE_COLLECTED","PH","DISSOLVED_OXYGEN","WATER_TEMPERATURE","SPEC_CONDUCTIVITY","TOTAL_DISSOLVED_SOLID","ORP","TURBIDITY","TOTAL_SUSPENDED_SOLID","CHLORINE","HARDNESS","FECAL_COUNT","PHOSPHOROUS","NITRATE","NITRITE","IRON","AMMONIA","CHEM_OXYGEN_DEMAND","PHENOLS","COPPER","DETERGENT","SULFATE","SENT_LAB_SAMPLE","COMMENTS","CREATE_DATE","RE-INSPECTION","NODE_NOT_OUTFALL","OUTFALL_IS_FLUME","NODE_AN_OUTFALL","NITRATE_NITRITE","E_COLI","ROWID"
"57","","Carlton Eurey","","Cesar Cavazos","1899-12-30 14:40:00","2004-09-30 00:00:00","32.92426","96.71467","WRDM","","Jackson Branch","296613","173","370","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{61DF892D-FDF1-4C85-84A5-4D4924A6F8C9}"
"58","","Carlton Eurey","","Cesar Cavazos","1899-12-30 14:34:00","2004-09-30 00:00:00","32.92404","96.71475","WRDM","","Jackson Branch","296593","173","350","Accessible","Standing Water","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{CBA97E69-6AE7-4D5D-9B7B-E5357E7E8792}"
"59","","Carlton Eurey","","Cesar Cavazos","1899-12-30 14:31:00","2004-09-30 00:00:00","32.92414","96.71468","WRDM","","Jackson Branch","296591","173","348","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{ABC644BC-1F0F-4E0D-906D-42D9A2F4EF46}"
"60","","Carlton Eurey","","Cesar Cavazos","1899-12-30 14:23:00","2004-09-30 00:00:00","32.92426","96.71654","WRDM","","Jackson Branch","296599","173","356","Accessible","Standing Water","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{E8A0B6CC-29E2-4C17-B669-C58052194264}"
"61","","Carlton Eurey","","Carlton Eurey","1899-12-30 14:12:00","2004-09-30 00:00:00","32.92552","96.71669","WRDM","","Jackson Branch","296580","173","337","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{72098E02-A049-4508-B71D-DC54AD573D7C}"
"62","","Carlton Eurey","","Cesar Cavazos","1899-12-30 14:10:00","2004-09-30 00:00:00","32.92556","96.71677","WRDM","","Jackson Branch","296577","173","334","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{099C06CA-5E50-4305-A13B-4C910E1F048A}"
"63","","Carlton Eurey","","Cesar Cavazos","1899-12-30 14:06:00","2004-09-30 00:00:00","32.92645","96.71674","WRDM","","Jackson Branch","296572","173","329","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{A402BC1E-E5DE-4233-B5FB-17E3FB209FB6}"
"64","","Carlton Eurey","","Cesar Cavazos","1899-12-30 14:03:00","2004-09-30 00:00:00","32.92660","96.71670","WRDM","","Jackson Branch","296571","173","328","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{EE090A41-A978-4D2F-814E-F1220E247E55}"
"65","","Carlton Eurey","","Bonnie Brewster","1899-12-30 15:22:00","2004-10-16 00:00:00","32.55524","96.42893","WRDM","","Jackson Branch","296424","173","168","Accessible","Standing Water","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{9A1E6145-2166-48E4-98EC-0A7B6880819D}"
"66","","Carlton Eurey","","Bonnie Brewster","1899-12-30 15:17:00","2004-10-16 00:00:00","32.55576","96.42755","WRDM","","Jackson Branch","296422","173","165","Accessible","Standing Water","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{B094DC98-F5EF-472E-8099-777EDF95C63F}"
"67","","Carlton Eurey","","Bonnie Brewster","1899-12-30 15:11:00","2004-10-16 00:00:00","32.55581","96.42724","WRDM","","Jackson Branch","296411","173","154","Accessible","Standing Water","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{1C88D90C-5A52-43FA-9DC5-5C6E337D5A99}"
"68","","Carlton Eurey","","Bonnie Brewster","1899-12-30 15:03:00","2004-10-16 00:00:00","32.55612","96.42728","WRDM","","Jackson Branch","296665","173","1027","Accessible","Standing Water","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{1F1FD424-6BD6-49F8-93B3-9FC3F56B57FB}"
"69","","Carlton Eurey","","Bonnie Brewster","1899-12-30 14:56:00","2004-10-16 00:00:00","32.55560","96.42722","WRDM","","Jackson Branch","296291","173","33","Accessible","Standing Water","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{9D116A29-314C-4AC0-BDB0-02291AE8C86C}"
"70","","Carlton Eurey","","Bonnie Brewster","1899-12-30 14:49:00","2004-10-16 00:00:00","32.55717","96.42719","WRDM","","Jackson Branch","296323","173","65","Accessible","Standing Water","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{8F83E490-8452-4E35-BD37-E17FA5769B97}"
"71","","Bonnie Brewster","","Carlton Eurey","1899-12-30 13:57:00","2004-10-20 00:00:00","32.91660","96.71669","WRDM","","Jackson Branch","302726","206","538","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{05FBAF9F-BC08-4B55-8CF7-70AB87493EA0}"
"72","","Bonnie Brewster","","Carlton Eurey","1899-12-30 13:54:00","2004-10-20 00:00:00","32.91675","96.71665","WRDM","","Jackson Branch","302730","206","543","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{2CC26D5D-9174-4E4C-9EE1-199D620B2C7C}"
"73","","Bonnie Brewster","","Carlton Eurey","1899-12-30 13:51:00","2004-10-20 00:00:00","32.91675","96.71674","WRDM","","Jackson Branch","302719","206","531","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{F0363903-06D7-4F72-9BA4-C2EB1E020EA2}"
"74","","Bonnie Brewster","","Carlton Eurey","1899-12-30 13:47:00","2004-10-20 00:00:00","32.91686","96.71669","WRDM","","Jackson Branch","302722","206","534","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{F5FF054B-EA20-48EB-9490-3E89D397BAFF}"
"75","","Bonnie Brewster","","Carlton Eurey","1899-12-30 13:43:00","2004-10-20 00:00:00","32.91691","96.71690","WRDM","","Jackson Branch","296634","173","501","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{C85EA968-DBD3-4A7F-B522-422FC2F4873F}"
"76","","Bonnie Brewster","","Carlton Eurey","1899-12-30 13:31:00","2004-10-20 00:00:00","32.90923","96.71454","WRDM","","Jackson Branch","302648","206","458","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{FA151C71-8A41-457F-83F4-737949589ACA}"
"77","","Bonnie Brewster","","Carlton Eurey","1899-12-30 13:30:00","2004-10-20 00:00:00","32.90924","96.71453","WRDM","","Jackson Branch","302635","206","445","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{E2EAA35B-77FC-46E6-BD9F-D3934E4A2F79}"
"78","","Bonnie Brewster","","Carlton Eurey","1899-12-30 13:26:00","2004-10-20 00:00:00","32.90910","96.71461","WRDM","","Jackson Branch","302633","206","443","Accessible","Standing Water","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{80A998BC-FB68-46B6-BD6F-0A177661CC1F}"
"79","","Bonnie Brewster","","Carlton Eurey","1899-12-30 13:24:00","2004-10-20 00:00:00","32.90900","96.71449","WRDM","","Jackson Branch","302627","206","437","Accessible","Standing Water","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{CD84D3E5-1232-4949-BDAE-F73FAA090012}"
"80","","Bonnie Brewster","","Carlton Eurey","1899-12-30 13:12:00","2004-10-20 00:00:00","32.91032","96.71497","WRDM","","Jackson Branch","302356","206","159","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{FF0D7275-063B-48CF-8653-4E9325B31798}"
"81","","Bonnie Brewster","","Carlton Eurey","1899-12-30 13:08:00","2004-10-20 00:00:00","32.91013","96.71614","WRDM","","Jackson Branch","302267","206","70","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{B6C9439E-AADD-48D4-B9A1-923E3616F39A}"
"82","","Bonnie Brewster","","Carlton Eurey","1899-12-30 13:03:00","2004-10-20 00:00:00","32.91100","96.71526","WRDM","","Jackson Branch","302283","206","86","Accessible","Standing Water","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{5B9FDBEE-761F-49BC-94DB-36771F0D3F40}"
"83","","Bonnie Brewster","","Carlton Eurey","1899-12-30 13:01:00","2004-10-20 00:00:00","32.91190","96.71519","WRDM","","Jackson Branch","302279","206","82","Accessible","Standing Water","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{D274F2CA-9790-42ED-BA01-84819C60A0BE}"
"84","","Bonnie Brewster","","Carlton Eurey","1899-12-30 12:55:00","2004-10-20 00:00:00","32.71261","96.71673","WRDM","","Jackson Branch","302256","206","59","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{2A58ECD6-0FA2-4B35-9A1D-3FD40ED760F4}"
"85","","Carlton Eurey","","Bonnie Brewster","1899-12-30 12:50:00","2004-10-20 00:00:00","32.91332","96.71500","WRDM","","Jackson Branch","302289","206","92","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{C5E66CD3-A671-4CD0-9508-DC1558F2BA60}"
"86","","Carlton Eurey","","Bonnie Brewster","1899-12-30 12:47:00","2004-10-20 00:00:00","32.91330","96.71508","WRDM","","Jackson Branch","302292","206","95","Accessible","None","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","No","","","","","","","","","{C5E27FB8-9C12-4528-BE66-06B7048823EA}"
